word,condition,exp1_onset,exp1_offset,exp2_onset,exp2_offset,exp3_onset,exp3_offset,exp4_onset,exp4_offset
bog,naturalv,655,1410,4110,4815,9455,10030,13505,14115
bog,stable,655,1410,4130,4765,9425,9965,13445,14070
bog,unnaturalv,655,1410,4125,4770,9440,9975,13505,14115
kai,naturalv,675,1405,4105,4810,9410,10035,13510,14115
kai,stable,675,1405,4105,4765,9385,9975,13455,14025
kai,unnaturalv,675,1405,4090,4815,9390,9970,13510,14115
mob,naturalv,650,1425,4095,4810,9390,10035,13510,14150
mob,stable,650,1425,4090,4770,9385,9985,13460,14095
mob,unnaturalv,650,1425,4200,4795,9450,9940,13510,14150
tan,naturalv,705,1440,4065,4815,9445,1005,13440,14150
tan,stable,705,1440,4110,4730,9385,9980,13480,14090
tan,unnaturalv,705,1440,4125,4805,9455,10035,13440,14150
voo,naturalv,665,1410,4120,4790,9475,10035,13505,14150
voo,stable,665,1410,4110,4745,9275,9985,13450,14095
voo,unnaturalv,665,1410,4125,4805,9455,10035,13505,14150
woi,naturalv,655,1410,4110,4795,9410,9980,13510,14150
woi,stable,655,1410,4145,4770,9395,9980,13455,14095
woi,unnaturalv,655,1410,4110,4775,9415,10035,13510,14150
