frame,pupil
1,735
2,735
3,735
4,735
5,735
6,735
7,735
8,735
9,735
10,735
11,735
12,735
13,735
14,735
15,735
16,735
17,735
18,735
19,735
20,735
21,735
22,735
23,735
24,735
25,735
26,735
27,735
28,735
29,735
30,735
31,735
32,735
33,735
34,735
35,735
36,735
37,735
38,735
39,735
40,735
41,735
42,645
43,645
44,645
45,645
46,645
47,645
48,645
49,645
50,645
51,645
52,645
53,645
54,645
55,645
56,645
57,645
58,645
59,645
60,645
61,645
62,645
63,645
64,645
65,645
66,645
67,645
68,645
69,645
70,645
71,645
72,645
73,645
74,645
75,645
76,645
77,645
78,645
79,645
80,645
81,645
82,645
83,645
84,645
85,645
86,645
87,645
88,645
89,645
90,645
91,645
92,645
93,645
94,645
95,645
96,645
97,645
98,645
99,645
100,645
101,645
102,645
103,645
104,645
105,645
106,645
107,645
108,645
109,645
110,645
111,645
112,645
113,645
114,645
115,645
116,645
117,645
118,645
119,645
120,645
121,645
122,645
123,645
124,645
125,645
126,645
127,645
128,645
129,645
130,645
131,645
132,645
133,645
134,645
135,645
136,645
137,645
138,645
139,645
140,645
141,645
142,645
143,645
144,645
145,645
146,645
147,645
148,645
149,645
150,645
151,645
152,645
153,645
154,645
155,645
156,645
157,645
158,645
159,645
160,645
161,645
162,645
163,645
164,645
165,645
166,645
167,645
168,645
169,645
170,645
171,645
172,645
173,645
174,645
175,645
176,645
177,645
178,645
179,645
180,645
181,645
182,645
183,645
184,645
185,645
186,645
187,645
188,645
189,645
190,645
191,645
192,645
193,645
194,645
195,645
196,645
197,645
198,645
199,645
200,645
201,645
202,645
203,645
204,645
205,645
206,645
207,645
208,645
209,645
210,645
211,645
212,645
213,645
214,645
215,645
216,645
217,645
218,645
219,645
220,645
221,645
222,645
223,645
224,645
225,645
226,645
227,645
228,645
229,645
230,645
231,645
232,645
233,645
234,645
235,645
236,645
237,645
238,645
239,645
240,645
241,645
242,645
243,645
244,645
245,645
246,645
247,645
248,645
249,645
250,645
251,645
252,645
253,645
254,645
255,645
256,645
257,645
258,645
259,645
260,645
261,645
262,645
263,645
264,645
265,645
266,645
267,645
268,645
269,645
270,645
271,645
272,645
273,645
274,645
275,645
276,645
277,645
278,645
279,645
280,645
281,645
282,645
283,645
284,645
285,645
286,645
287,645
288,645
289,586
290,586
291,586
292,586
293,586
294,586
295,586
296,586
297,586
298,586
299,586
300,586
301,586
302,586
303,586
304,586
305,586
306,586
307,586
308,586
309,586
310,586
311,586
312,586
313,586
314,586
315,586
316,586
317,586
318,586
319,586
320,586
321,586
322,586
323,586
324,586
325,586
326,586
327,586
328,586
329,586
330,586
331,586
332,586
333,586
334,586
335,586
336,586
337,586
338,586
339,586
340,586
341,586
342,586
343,586
344,586
345,586
346,586
347,586
348,586
349,586
350,586
351,586
352,586
353,586
354,586
355,586
356,586
357,586
358,586
359,586
360,586
361,586
362,586
363,586
364,586
365,586
366,586
367,586
368,586
369,586
370,586
371,586
372,586
373,586
374,586
375,586
376,586
377,586
378,586
379,586
380,586
381,586
382,586
383,586
384,586
385,586
386,586
387,586
388,586
389,586
390,586
391,586
392,586
393,586
394,586
395,586
396,586
397,586
398,586
399,586
400,586
401,586
402,586
403,586
404,586
405,586
406,586
407,586
408,635
409,635
410,635
411,635
412,635
413,635
414,635
415,635
416,635
417,635
418,635
419,635
420,635
421,635
422,635
423,635
424,635
425,635
426,635
427,635
428,635
429,635
430,635
431,635
432,635
433,635
434,635
435,635
436,635
437,635
438,635
439,635
440,635
441,635
442,635
443,635
444,635
445,635
446,635
447,635
448,635
449,635
450,635
451,635
452,635
453,635
454,635
455,635
456,635
457,635
458,635
459,635
460,635
461,635
462,635
463,635
464,635
465,635
466,635
467,635
468,635
469,635
470,635
471,635
472,635
473,635
474,635
475,635
476,635
477,635
478,635
479,635
480,635
481,635
482,635
483,635
484,635
485,635
486,635
487,635
488,635
489,635
490,635
491,635
492,635
493,635
494,635
495,635
496,635
497,635
498,635
499,635
500,635
501,635
502,635
503,635
504,635
505,635
506,635
507,635
508,635
509,635
510,635
511,635
512,635
513,635
514,635
515,635
516,635
517,635
518,635
519,635
520,635
521,635
522,635
523,635
524,635
525,635
526,635
527,635
528,635
529,635
530,635
531,635
532,635
533,635
534,635
535,635
536,635
537,635
538,635
539,635
540,635
541,635
542,635
543,635
544,635
545,635
546,635
547,635
548,635
549,635
550,635
551,635
552,635
553,635
554,635
555,635
556,635
557,635
558,635
559,635
560,635
561,635
562,635
563,635
564,635
565,635
566,635
567,635
568,635
569,635
570,635
571,635
572,635
573,635
574,635
575,635
576,635
577,635
578,635
579,635
580,635
581,635
582,635
583,635
584,635
585,635
586,635
587,635
588,635
589,635
590,635
591,635
592,635
593,635
594,635
595,635
596,635
597,635
598,635
599,635
600,635
601,635
602,635
603,635
604,635
605,635
606,635
607,635
608,635
609,635
610,635
611,635
612,635
613,635
614,635
615,635
616,635
617,635
618,635
619,635
620,635
621,635
622,635
623,635
624,635
625,635
626,635
627,635
628,635
629,635
630,635
631,635
632,635
633,635
634,635
635,635
636,635
637,635
638,635
639,635
640,635
641,635
642,635
643,635
644,635
645,635
646,635
647,635
648,635
649,635
650,635
651,635
652,635
653,635
654,635
655,635
656,635
657,635
658,635
659,635
660,635
661,635
662,635
663,635
664,635
665,635
666,635
667,635
668,635
669,635
670,635
671,635
672,635
673,635
674,635
675,635
676,635
677,635
678,635
679,635
680,635
681,635
682,635
683,681
684,681
685,681
686,681
687,681
688,681
689,681
690,681
691,681
692,681
693,681
694,681
695,681
696,681
697,681
698,681
699,681
700,681
701,681
702,681
703,681
704,681
705,681
706,681
707,681
708,681
709,681
710,681
711,681
712,681
713,681
714,681
715,681
716,681
717,681
718,681
719,681
720,681
721,681
722,681
723,681
724,681
725,681
726,681
727,681
728,681
729,681
730,681
731,681
732,681
733,681
734,681
735,681
736,681
737,681
738,681
739,681
740,681
741,681
742,681
743,681
744,681
745,681
746,681
747,681
748,681
749,681
750,681
751,681
752,681
753,681
754,681
755,681
756,681
757,681
758,681
759,681
760,681
761,681
762,681
763,681
764,681
765,681
766,681
767,681
768,681
769,681
770,681
771,681
772,681
773,681
774,681
775,681
776,681
777,681
778,681
779,681
780,681
781,681
782,681
783,681
784,681
785,681
786,681
787,681
788,681
789,681
790,681
791,681
792,681
793,681
794,681
795,681
796,681
797,681
798,681
799,681
800,681
801,681
802,681
803,681
804,681
805,681
806,681
807,681
808,681
809,681
810,681
811,681
812,681
813,681
814,681
815,681
816,681
817,681
818,681
819,681
820,681
821,681
822,681
823,681
824,681
825,681
826,681
827,681
828,681
829,681
830,681
831,681
832,681
833,681
834,681
835,681
836,681
837,681
838,681
839,681
840,681
841,681
842,681
843,681
844,681
845,681
846,681
847,681
848,681
849,681
850,681
851,681
852,681
853,681
854,681
855,681
856,681
857,681
858,681
859,681
860,681
861,681
862,681
863,681
864,681
865,681
866,681
867,681
868,681
869,681
870,681
871,681
872,681
873,681
874,681
875,681
876,681
877,681
878,681
879,681
880,681
881,681
882,681
883,681
884,681
885,681
886,681
887,681
888,681
889,681
890,681
891,681
892,681
893,681
894,681
895,681
896,681
897,681
898,681
899,681
900,681
901,681
902,681
903,681
904,681
905,681
906,681
907,681
908,681
909,681
910,681
911,681
912,681
913,681
914,681
915,681
916,681
917,681
918,681
919,681
920,681
921,681
922,681
923,681
924,681
925,681
926,681
927,681
928,681
929,681
930,681
931,681
932,681
933,681
934,681
935,681
936,681
937,681
938,681
939,681
940,681
941,681
942,681
943,681
944,681
945,681
946,681
947,681
948,681
949,681
950,681
951,681
952,681
953,681
954,681
955,681
956,681
957,681
958,681
959,681
960,681
961,681
962,681
963,681
964,681
965,681
966,681
967,681
968,681
969,681
970,681
971,681
972,681
973,681
974,681
975,681
976,681
977,681
978,681
979,681
980,681
981,681
982,681
983,681
984,681
985,681
986,681
987,681
988,681
989,681
990,681
991,681
992,681
993,681
994,681
995,681
996,681
997,681
998,681
999,681
1000,681
1001,681
1002,681
1003,681
1004,681
1005,681
1006,681
1007,681
1008,681
1009,681
1010,681
1011,681
1012,681
1013,681
1014,681
1015,681
1016,681
1017,681
1018,681
1019,681
1020,681
1021,681
1022,681
1023,681
1024,681
1025,681
1026,681
1027,681
1028,681
1029,681
1030,681
1031,681
1032,681
1033,681
1034,681
1035,681
1036,681
1037,681
1038,681
1039,681
1040,681
1041,681
1042,681
1043,681
1044,681
1045,681
1046,681
1047,681
1048,681
1049,681
1050,681
1051,681
1052,681
1053,681
1054,681
1055,681
1056,681
1057,681
1058,681
1059,681
1060,681
1061,681
1062,681
1063,681
1064,681
1065,681
1066,681
1067,681
1068,681
1069,681
1070,681
1071,681
1072,681
1073,681
1074,681
1075,681
1076,681
1077,681
1078,681
1079,681
1080,681
1081,681
1082,681
1083,681
1084,681
1085,681
1086,681
1087,681
1088,681
1089,681
1090,681
1091,681
1092,681
1093,681
1094,681
1095,681
1096,681
1097,681
1098,681
1099,681
1100,681
1101,681
1102,681
1103,681
1104,681
1105,681
1106,681
1107,681
1108,681
1109,681
1110,681
1111,681
1112,681
1113,681
1114,681
1115,681
1116,681
1117,681
1118,681
1119,681
1120,681
1121,681
1122,681
1123,681
1124,681
1125,681
1126,681
