frame,pupil
1,722
2,722
3,722
4,722
5,722
6,722
7,722
8,722
9,722
10,722
11,722
12,722
13,722
14,722
15,722
16,722
17,722
18,722
19,722
20,722
21,722
22,722
23,722
24,722
25,722
26,722
27,722
28,722
29,722
30,722
31,722
32,722
33,722
34,722
35,722
36,722
37,722
38,722
39,722
40,722
41,722
42,722
43,722
44,722
45,722
46,722
47,722
48,722
49,722
50,722
51,722
52,722
53,722
54,722
55,722
56,722
57,722
58,722
59,722
60,722
61,722
62,722
63,722
64,722
65,722
66,722
67,722
68,722
69,722
70,722
71,722
72,722
73,722
74,722
75,722
76,722
77,722
78,722
79,722
80,722
81,722
82,722
83,722
84,722
85,722
86,722
87,722
88,722
89,722
90,722
91,722
92,722
93,722
94,722
95,722
96,722
97,722
98,722
99,722
100,722
101,722
102,722
103,722
104,722
105,722
106,722
107,722
108,722
109,722
110,722
111,722
112,722
113,722
114,722
115,722
116,722
117,722
118,722
119,722
120,722
121,722
122,722
123,722
124,722
125,722
126,722
127,722
128,722
129,722
130,722
131,722
132,722
133,722
134,722
135,722
136,722
137,722
138,722
139,722
140,722
141,722
142,722
143,722
144,722
145,722
146,722
147,722
148,722
149,722
150,722
151,722
152,722
153,722
154,722
155,722
156,722
157,722
158,722
159,722
160,722
161,722
162,722
163,722
164,722
165,722
166,722
167,722
168,722
169,722
170,722
171,722
172,722
173,722
174,722
175,722
176,722
177,722
178,722
179,722
180,722
181,722
182,722
183,722
184,722
185,722
186,722
187,722
188,722
189,722
190,722
191,722
192,722
193,722
194,722
195,722
196,722
197,722
198,722
199,722
200,722
201,722
202,722
203,722
204,722
205,722
206,722
207,722
208,722
209,722
210,722
211,722
212,722
213,722
214,722
215,722
216,722
217,722
218,722
219,722
220,722
221,722
222,722
223,722
224,722
225,722
226,722
227,722
228,722
229,722
230,722
231,722
232,722
233,722
234,722
235,722
236,722
237,722
238,722
239,722
240,722
241,722
242,722
243,722
244,722
245,722
246,722
247,722
248,722
249,722
250,722
251,722
252,722
253,722
254,722
255,722
256,722
257,722
258,722
259,722
260,722
261,722
262,722
263,722
264,722
265,722
266,722
267,722
268,722
269,722
270,722
271,722
272,722
273,722
274,722
275,722
276,722
277,722
278,722
279,722
280,722
281,722
282,722
283,722
284,722
285,722
286,722
287,722
288,722
289,722
290,722
291,722
292,722
293,722
294,722
295,722
296,722
297,722
298,722
299,722
300,722
301,722
302,722
303,722
304,722
305,722
306,722
307,722
308,722
309,722
310,722
311,722
312,722
313,722
314,722
315,722
316,722
317,722
318,722
319,722
320,722
321,722
322,722
323,722
324,722
325,722
326,722
327,722
328,722
329,722
330,722
331,722
332,722
333,722
334,722
335,722
336,722
337,722
338,722
339,722
340,722
341,722
342,722
343,722
344,722
345,722
346,722
347,722
348,722
349,722
350,722
351,722
352,722
353,722
354,722
355,722
356,722
357,722
358,722
359,722
360,722
361,722
362,722
363,722
364,722
365,722
366,722
367,722
368,722
369,722
370,722
371,722
372,722
373,722
374,722
375,722
376,722
377,722
378,722
379,722
380,722
381,722
382,722
383,722
384,722
385,722
386,722
387,722
388,722
389,722
390,722
391,722
392,722
393,722
394,722
395,722
396,722
397,722
398,722
399,722
400,722
401,722
402,722
403,722
404,722
405,722
406,722
407,722
408,722
409,722
410,722
411,722
412,722
413,722
414,722
415,722
416,722
417,722
418,722
419,722
420,722
421,722
422,722
423,722
424,722
425,722
426,722
427,722
428,722
429,722
430,722
431,722
432,722
433,722
434,722
435,722
436,722
437,722
438,722
439,722
440,722
441,722
442,722
443,722
444,722
445,722
446,722
447,722
448,722
449,722
450,722
451,722
452,722
453,722
454,722
455,722
456,722
457,722
458,722
459,722
460,722
461,722
462,722
463,722
464,722
465,722
466,722
467,722
468,722
469,722
470,722
471,722
472,722
473,722
474,722
475,722
476,722
477,722
478,722
479,722
480,722
481,722
482,722
483,722
484,722
485,722
486,722
487,722
488,722
489,722
490,722
491,722
492,722
493,722
494,722
495,722
496,722
497,722
498,722
499,722
500,722
501,722
502,722
503,722
504,722
505,722
506,722
507,722
508,722
509,722
510,722
511,722
512,722
513,722
514,722
515,722
516,722
517,722
518,722
519,722
520,722
521,722
522,722
523,722
524,722
525,722
526,722
527,722
528,722
529,722
530,722
531,722
532,722
533,722
534,722
535,722
536,722
537,722
538,722
539,722
540,722
541,722
542,722
543,722
544,722
545,722
546,722
547,722
548,722
549,722
550,722
551,722
552,722
553,722
554,722
555,722
556,722
557,722
558,722
559,722
560,722
561,722
562,722
563,722
564,722
565,722
566,722
567,722
568,722
569,722
570,722
571,722
572,722
573,722
574,722
575,722
576,722
577,722
578,722
579,722
580,722
581,722
582,722
583,722
584,722
585,722
586,722
587,722
588,722
589,722
590,722
591,722
592,722
593,722
594,722
595,722
596,651
597,651
598,651
599,651
600,651
601,651
602,651
603,651
604,651
605,651
606,651
607,651
608,651
609,651
610,651
611,651
612,651
613,651
614,651
615,651
616,651
617,651
618,651
619,651
620,651
621,651
622,651
623,651
624,651
625,651
626,651
627,651
628,651
629,651
630,651
631,651
632,651
633,651
634,651
635,651
636,651
637,651
638,651
639,651
640,651
641,651
642,651
643,651
644,651
645,651
646,651
647,651
648,651
649,651
650,651
651,651
652,651
653,651
654,651
655,651
656,651
657,651
658,651
659,651
660,651
661,651
662,651
663,651
664,651
665,651
666,651
667,651
668,651
669,651
670,651
671,651
672,651
673,651
674,651
675,651
676,651
677,651
678,651
679,651
680,651
681,651
682,651
683,651
684,651
685,651
686,651
687,651
688,651
689,651
690,651
691,651
692,651
693,651
694,651
695,651
696,651
697,651
698,651
699,651
700,651
701,651
702,651
703,651
704,651
705,651
706,651
707,651
708,651
709,651
710,651
711,651
712,651
713,651
714,651
715,651
716,651
717,651
718,651
719,651
720,651
721,651
722,651
723,651
724,651
725,651
726,651
727,651
728,651
729,651
730,651
731,651
732,651
733,651
734,651
735,651
736,651
737,651
738,651
739,651
740,651
741,651
742,651
743,651
744,651
745,651
746,651
747,651
748,651
749,651
750,651
751,651
752,651
753,651
754,651
755,651
756,651
757,651
758,651
759,651
760,651
761,651
762,651
763,651
764,651
765,651
766,651
767,651
768,651
769,651
770,651
771,651
772,651
773,651
774,651
775,651
776,651
777,651
778,651
779,651
780,651
781,651
782,651
783,651
784,651
785,651
786,651
787,651
788,651
789,651
790,651
791,651
792,651
793,651
794,651
795,651
796,651
797,651
798,651
799,651
800,651
801,651
802,651
803,651
804,651
805,651
806,651
807,651
808,651
809,651
810,651
811,651
812,651
813,651
814,651
815,651
816,651
817,651
818,651
819,651
820,651
821,651
822,651
823,651
824,651
825,651
826,651
827,651
828,651
829,651
830,651
831,651
832,651
833,651
834,651
835,651
836,651
837,651
838,651
839,651
840,651
841,651
842,651
843,651
844,651
845,651
846,651
847,651
848,651
849,651
850,651
851,651
852,651
853,651
854,651
855,651
856,651
857,651
858,651
859,651
860,651
861,651
862,651
863,651
864,651
865,651
866,651
867,651
868,651
869,651
870,651
871,651
872,651
873,651
874,651
875,651
876,651
877,651
878,651
879,651
880,651
881,651
882,651
883,651
884,651
885,651
886,651
887,651
888,651
889,651
890,651
891,651
892,651
893,651
894,651
895,651
896,651
897,651
898,651
899,651
900,651
901,651
902,651
903,651
904,651
905,651
906,651
907,651
908,651
909,651
910,651
911,651
912,651
913,651
914,651
915,651
916,651
917,651
918,651
919,651
920,651
921,651
922,651
923,651
924,651
925,651
926,651
927,651
928,651
929,651
930,651
931,651
932,651
933,651
934,651
935,651
936,651
937,651
938,651
939,651
940,651
941,651
942,651
943,651
944,651
945,651
946,651
947,651
948,651
949,651
950,651
951,651
952,651
953,651
954,651
955,651
956,651
957,651
958,651
959,651
960,651
961,651
962,651
963,651
964,651
965,651
966,651
967,651
968,651
969,651
970,651
971,651
972,651
973,651
974,651
975,651
976,651
977,651
978,651
979,651
980,651
981,651
982,651
983,651
984,651
985,651
986,651
987,651
988,651
989,651
990,651
991,651
992,651
993,790
994,790
995,790
996,790
997,790
998,790
999,790
1000,790
1001,790
1002,790
1003,790
1004,790
1005,790
1006,790
1007,790
1008,790
1009,790
1010,790
1011,790
1012,790
1013,790
1014,790
1015,790
1016,790
1017,790
1018,790
1019,790
1020,790
1021,790
1022,790
1023,790
1024,790
1025,790
1026,790
1027,790
1028,790
1029,790
1030,790
1031,790
1032,790
1033,790
1034,790
1035,790
1036,790
1037,790
1038,790
1039,790
1040,790
1041,790
1042,790
1043,790
1044,790
1045,790
1046,790
1047,790
1048,790
1049,790
1050,790
1051,790
1052,790
1053,790
1054,790
1055,790
1056,790
1057,790
1058,790
1059,790
1060,790
1061,790
1062,790
1063,790
1064,790
1065,790
1066,790
1067,790
1068,790
1069,790
1070,790
1071,790
1072,790
1073,790
1074,790
1075,790
1076,790
1077,790
1078,790
1079,790
1080,790
1081,790
1082,790
1083,790
1084,790
1085,790
1086,790
1087,790
1088,790
1089,790
1090,790
1091,790
1092,790
1093,790
1094,790
1095,790
1096,790
1097,790
1098,790
1099,790
1100,790
1101,790
1102,790
1103,790
1104,790
1105,790
1106,790
1107,790
1108,790
1109,790
1110,790
1111,790
1112,790
1113,790
1114,790
1115,790
1116,790
1117,790
1118,790
1119,790
1120,790
1121,790
1122,790
1123,790
1124,790
1125,790
1126,790
1127,790
1128,790
1129,790
1130,790
1131,790
1132,790
1133,790
1134,790
1135,790
1136,790
1137,790
1138,790
1139,790
1140,790
1141,790
1142,790
1143,790
1144,790
1145,790
1146,790
1147,790
1148,790
1149,790
1150,790
1151,790
1152,790
1153,790
1154,790
1155,790
1156,790
1157,790
1158,790
1159,790
1160,790
1161,790
1162,790
1163,790
1164,790
1165,790
1166,790
1167,790
1168,790
1169,790
1170,790
1171,790
1172,790
1173,790
1174,790
1175,790
1176,790
1177,790
1178,790
1179,790
1180,790
1181,790
1182,790
1183,790
1184,790
1185,790
1186,790
1187,790
1188,790
1189,790
1190,790
1191,790
1192,790
1193,790
1194,790
1195,790
1196,790
1197,790
1198,790
1199,790
1200,790
1201,790
1202,790
1203,790
1204,790
1205,790
1206,790
1207,790
1208,790
1209,790
1210,790
1211,790
1212,790
1213,790
1214,790
1215,790
1216,790
1217,790
1218,790
1219,790
1220,790
1221,790
1222,790
1223,790
1224,790
1225,790
1226,790
1227,790
1228,790
1229,790
1230,790
1231,790
1232,790
1233,790
1234,790
1235,790
1236,790
1237,790
1238,790
1239,790
1240,790
1241,790
1242,790
1243,790
1244,790
1245,790
1246,790
1247,790
1248,790
1249,790
1250,790
1251,790
1252,790
1253,790
1254,790
1255,790
1256,790
1257,790
1258,790
1259,790
1260,790
1261,790
1262,790
1263,790
1264,790
1265,790
1266,790
1267,790
1268,790
1269,790
1270,790
1271,790
1272,790
1273,790
1274,790
1275,790
1276,790
1277,790
1278,790
1279,790
1280,790
1281,790
1282,790
1283,790
1284,790
1285,790
1286,790
1287,790
1288,790
1289,790
1290,790
1291,790
1292,790
1293,790
1294,790
1295,790
1296,790
1297,790
1298,790
1299,790
1300,790
1301,790
1302,790
1303,790
1304,790
1305,790
1306,790
1307,790
1308,790
1309,790
1310,790
1311,790
1312,790
1313,790
1314,790
1315,790
1316,790
1317,790
1318,790
1319,790
1320,790
1321,790
1322,790
1323,790
1324,790
1325,790
1326,790
1327,790
1328,790
1329,790
1330,790
1331,790
1332,790
1333,790
1334,790
1335,790
1336,790
1337,790
1338,790
1339,790
1340,790
1341,790
1342,790
1343,790
1344,790
1345,790
1346,790
1347,790
1348,790
1349,790
1350,790
1351,790
1352,790
1353,790
1354,790
1355,790
1356,790
1357,790
1358,790
1359,790
1360,790
1361,790
1362,790
1363,790
1364,790
1365,790
1366,790
1367,790
1368,790
1369,790
1370,790
1371,790
1372,790
1373,790
1374,790
1375,790
1376,790
1377,790
1378,790
1379,790
1380,790
1381,790
1382,790
1383,790
1384,790
1385,790
1386,790
1387,790
1388,790
1389,790
1390,790
1391,790
1392,790
1393,790
1394,790
1395,790
1396,790
1397,790
1398,790
1399,790
1400,790
1401,790
1402,790
1403,790
1404,790
1405,790
1406,790
1407,790
1408,790
1409,790
1410,790
1411,790
1412,790
1413,790
1414,790
1415,790
1416,790
1417,790
1418,790
1419,790
1420,790
1421,790
1422,790
1423,790
1424,790
1425,790
1426,790
1427,790
1428,790
1429,790
1430,790
1431,790
1432,790
1433,790
1434,790
1435,790
1436,790
1437,790
1438,790
1439,790
1440,790
1441,790
1442,790
1443,790
1444,790
1445,790
1446,790
1447,790
1448,790
1449,790
1450,790
1451,790
1452,790
1453,790
1454,790
1455,790
1456,790
1457,790
1458,790
1459,790
1460,790
1461,790
1462,790
1463,790
1464,790
1465,790
1466,790
1467,790
1468,790
1469,790
1470,790
1471,790
1472,790
1473,790
1474,790
1475,790
1476,790
1477,790
1478,790
1479,790
1480,790
1481,790
1482,790
1483,790
1484,790
1485,790
1486,751
1487,751
1488,751
1489,751
1490,751
1491,751
1492,751
1493,751
1494,751
1495,751
1496,751
1497,751
1498,751
1499,751
1500,751
1501,751
1502,751
1503,751
1504,751
1505,751
1506,751
1507,751
1508,751
1509,751
1510,751
1511,751
1512,751
1513,751
1514,751
1515,751
1516,751
1517,751
1518,751
1519,751
1520,751
1521,751
1522,751
1523,751
1524,751
1525,751
1526,751
1527,751
1528,751
1529,751
1530,751
1531,751
1532,751
1533,751
1534,751
1535,751
1536,751
1537,751
1538,751
1539,751
1540,751
1541,751
1542,751
1543,751
1544,751
1545,751
1546,751
1547,751
1548,751
1549,751
1550,751
1551,751
1552,751
1553,751
1554,751
1555,751
1556,751
1557,751
1558,751
1559,751
1560,751
1561,751
1562,751
1563,751
1564,751
1565,751
1566,751
1567,751
