frame,pupil
1,1505
2,1505
3,1505
4,1505
5,1505
6,1505
7,1505
8,1505
9,1505
10,1505
11,1505
12,1505
13,1505
14,1505
15,1505
16,1471
17,1471
18,1471
19,1471
20,1471
21,1471
22,1471
23,1471
24,1471
25,1471
26,1471
27,1471
28,1471
29,1471
30,1471
31,1471
32,1471
33,1471
34,1471
35,1471
36,1471
37,1471
38,1471
39,1471
40,1471
41,1717
42,1717
43,1717
44,1717
45,1717
46,1717
47,1717
48,1717
49,1717
50,1717
51,1717
52,1717
53,1717
54,1717
55,1717
56,1717
57,1717
58,1717
59,1717
60,1717
61,1717
62,1717
63,1717
64,1717
65,1717
66,1717
67,1717
68,1717
69,1717
70,1717
71,1717
72,1717
73,1717
74,1717
75,1717
76,1717
77,1717
78,1717
79,1717
80,1717
81,1717
82,1717
83,1717
84,1717
85,1717
86,1717
87,1717
88,1717
89,1717
90,1717
91,1717
92,1717
93,1717
94,1717
95,1717
96,1717
97,1717
98,1717
99,1717
100,1717
101,1717
102,1717
103,1717
104,1717
105,1717
106,1717
107,1717
108,1717
109,1717
110,1717
111,1717
112,1717
113,1717
114,1717
115,1717
116,1717
117,1717
118,1717
119,1717
120,1717
121,1717
122,1717
123,1717
124,1717
125,1717
126,1717
127,1717
128,1717
129,1717
130,1717
131,1717
132,1717
133,1717
134,1717
135,1717
136,1717
137,1717
138,1717
139,1717
140,1717
141,1717
142,1717
143,1717
144,1717
145,1717
146,1717
147,1717
148,1717
149,1717
150,1717
151,1717
152,1717
153,1717
154,1717
155,1717
156,1717
157,1717
158,1717
159,1717
160,1717
161,1717
162,1717
163,1717
164,1717
165,1717
166,1717
167,1717
168,1717
169,1717
170,1717
171,1717
172,1717
173,1717
174,1717
175,1717
176,1717
177,1717
178,1717
179,1717
180,1717
181,1717
182,1717
183,1717
184,1717
185,1717
186,1717
187,1717
188,1717
189,1717
190,1717
191,1717
192,1717
193,1717
194,1717
195,1717
196,1717
197,1717
198,1717
199,1717
200,1717
201,1717
202,1717
203,1717
204,1717
205,1717
206,1717
207,1717
208,1717
209,1717
210,1717
211,1717
212,1717
213,1717
214,1717
215,1717
216,1717
217,1717
218,1717
219,1717
220,1717
221,1717
222,1717
223,1717
224,1717
225,1717
226,1717
227,1717
228,1717
229,1717
230,1717
231,1717
232,1717
233,1717
234,1717
235,1717
236,1717
237,1717
238,1717
239,1717
240,1717
241,1717
242,1717
243,1717
244,1717
245,1717
246,1717
247,1717
248,1717
249,1717
250,1717
251,1717
252,1717
253,1717
254,1717
255,1717
256,1717
257,1717
258,1717
259,1717
260,1717
261,1717
262,1717
263,1717
264,1717
265,1717
266,1717
267,1717
268,1717
269,1717
270,1717
271,1717
272,1717
273,1717
274,1717
275,1717
276,1717
277,1717
278,1717
279,1717
280,1717
281,1717
282,1717
283,1717
284,1717
285,1717
286,1717
287,1717
288,1717
289,1717
290,1717
291,1717
292,1717
293,1717
294,1717
295,1717
296,1717
297,1717
298,1717
299,1717
300,1717
301,1717
302,1717
303,1717
304,1717
305,1717
306,1717
307,1717
308,1717
309,1717
310,1717
311,1717
312,1717
313,1717
314,1717
315,1717
316,1717
317,1717
318,1717
319,1717
320,1717
321,1717
322,1717
323,1717
324,1717
325,1717
326,1717
327,1717
328,1717
329,1717
330,1717
331,1717
332,1717
333,1717
334,1717
335,1717
336,1717
337,1717
338,1717
339,1717
340,1717
341,1717
342,1717
343,1717
344,1717
345,1717
346,1717
347,1717
348,1717
349,1717
350,1717
351,1717
352,1717
353,1717
354,1717
355,1717
356,1717
357,1717
358,1717
359,1717
360,1717
361,1717
362,1717
363,1717
364,1717
365,1717
366,1717
367,1717
368,1717
369,1717
370,1717
371,1717
372,1717
373,1717
374,1717
375,1717
376,1717
377,1717
378,1717
379,1717
380,1717
381,1717
382,1717
383,1717
384,1717
385,1717
386,1717
387,1717
388,1717
389,1717
390,1717
391,1717
392,1717
393,1717
394,1717
395,1717
396,1717
397,1717
398,1717
399,1717
400,1717
401,1717
402,1717
403,1717
404,1717
405,1717
406,1717
407,1717
408,1717
409,1717
410,1717
411,1717
412,1717
413,1717
414,1717
415,1717
416,1717
417,1717
418,1717
419,1717
420,1717
421,1717
422,1717
423,1717
424,1717
425,1717
426,1717
427,1717
428,1717
429,1717
430,1717
431,1717
432,1717
433,1717
434,1717
435,1717
436,1717
437,1717
438,1717
439,1717
440,1717
441,1717
442,1717
443,1717
444,1717
445,1717
446,1717
447,1717
448,1717
449,1717
450,1717
451,1717
452,1717
453,1717
454,1717
455,1717
456,1717
457,1717
458,1717
459,1717
