frame,pupil
1,1848
2,1848
3,1848
4,1848
5,1848
6,1848
7,1848
8,1848
9,1848
10,1848
11,1848
12,1848
13,1848
14,1848
15,1848
16,1848
17,1848
18,1848
19,1848
20,1848
21,1848
22,1848
23,1848
24,1848
25,1848
26,1848
27,1848
28,1848
29,1848
30,1848
31,1848
32,1848
33,1848
34,1848
35,1848
36,1848
37,1848
38,1848
39,1848
40,1848
41,1848
42,1848
43,1848
44,1848
45,1848
46,1848
47,1848
48,1848
49,1848
50,1848
51,1848
52,1848
53,1848
54,1848
55,1848
56,1848
57,1848
58,1848
59,1848
60,1848
61,1848
62,1848
63,1848
64,1848
65,1848
66,1848
67,1848
68,1848
69,1848
70,1848
71,1848
72,1848
73,1848
74,1848
75,1848
76,1848
77,1848
78,1848
79,1848
80,1848
81,1848
82,1848
83,1848
84,1848
85,1848
86,1848
87,1848
88,1848
89,1848
90,1848
91,1848
92,1848
93,1848
94,1848
95,1848
96,1848
97,1848
98,1848
99,1848
100,1848
101,1848
102,1848
103,1848
104,1848
105,1848
106,1848
107,1848
108,1848
109,1848
110,1848
111,1848
112,1848
113,1848
114,1848
115,1848
116,1848
117,1848
118,1848
119,1848
120,1848
121,1848
122,1848
123,1848
124,1848
125,1848
126,1848
127,1848
128,1848
129,1848
130,1848
131,1848
132,1848
133,1848
134,1848
135,1848
136,1848
137,1848
138,1848
139,1848
140,1848
141,1848
142,1848
143,1848
144,1848
145,1848
146,1848
147,1848
148,1848
149,1848
150,1848
151,1848
152,1848
153,1848
154,1848
155,1848
156,1848
157,1848
158,1848
159,1848
160,1848
161,1848
162,1848
163,1848
164,1848
165,1848
166,1848
167,1848
168,1848
169,1848
170,1848
171,1848
172,1848
173,1848
174,1848
175,1848
176,1848
177,1848
178,1848
179,1848
180,1848
181,1848
182,1848
183,1848
184,1848
185,1848
186,1848
187,1848
188,1848
189,1848
190,1848
191,1848
192,1848
193,1848
194,1848
195,1848
196,1848
197,1848
198,1848
199,1848
200,1848
201,1848
202,1848
203,1848
204,1848
205,1848
206,1848
207,1848
208,1848
209,1848
210,1848
211,1848
212,1848
213,1848
214,1848
215,1848
216,1848
217,1848
218,1848
219,1848
220,1848
221,1848
222,1848
223,1848
224,1848
225,1848
226,1848
227,1848
228,1848
229,1848
230,1848
231,1848
232,1848
233,1848
234,1848
235,1848
236,1848
237,1848
238,1848
239,1848
240,1848
241,1848
242,1848
243,1848
244,1848
245,1848
246,1848
247,1848
248,1848
249,1848
250,1848
251,1848
252,1848
253,1848
254,1848
255,1848
256,1848
257,1848
258,1848
259,1848
260,1848
261,1848
262,1848
263,1848
264,1848
265,1848
266,1848
267,1848
268,1848
269,1848
270,1848
271,1848
272,1848
273,1848
274,1848
275,1848
276,1848
277,1848
278,1848
279,1848
280,1848
281,1848
282,1848
283,1848
284,1848
285,1848
286,1848
287,1848
