frame,pupil
1,458
2,458
3,458
4,458
5,458
6,458
7,458
8,458
9,458
10,458
11,458
12,458
13,458
14,458
15,458
16,458
17,458
18,458
19,458
20,458
21,458
22,458
23,458
24,458
25,458
26,458
27,458
28,458
29,458
30,458
31,458
32,458
33,458
34,458
35,458
36,458
37,458
38,458
39,458
40,458
41,458
42,458
43,458
44,458
45,458
46,654
47,654
48,654
49,654
50,654
51,654
52,654
53,654
54,654
55,654
56,654
57,654
58,654
59,654
60,654
61,654
62,654
63,654
64,654
65,654
66,654
67,654
68,654
69,654
70,654
71,654
72,654
73,654
74,654
75,654
76,654
77,654
78,654
79,654
80,654
81,654
82,654
83,654
84,654
85,654
86,654
87,654
88,654
89,654
90,654
91,654
92,654
93,654
94,654
95,654
96,654
97,654
98,654
99,654
100,654
101,654
102,654
103,654
104,654
105,654
106,654
107,654
108,654
109,654
110,654
111,654
112,654
113,654
114,654
115,654
116,654
117,654
118,654
119,654
120,654
121,654
122,654
123,654
124,654
125,654
126,654
127,654
128,654
129,654
130,654
131,654
132,654
133,654
134,654
135,654
136,654
137,654
138,654
139,654
140,654
141,654
142,654
143,654
144,654
145,654
146,654
147,654
148,654
149,654
150,654
151,654
152,654
153,654
154,654
155,654
156,654
157,654
158,654
159,654
160,654
161,654
162,654
163,654
164,654
165,654
166,654
167,654
168,654
169,654
170,654
171,654
172,654
173,654
174,654
175,654
176,654
177,654
178,654
179,654
180,654
181,654
182,654
183,654
184,654
185,654
186,654
187,654
188,654
189,654
190,654
191,654
192,654
193,654
194,654
195,654
196,654
197,654
198,654
199,654
200,654
201,654
202,654
203,654
204,654
205,654
206,654
207,654
208,654
209,654
210,654
211,654
212,654
213,654
214,654
215,654
216,654
217,654
218,654
219,654
220,654
221,654
222,654
223,654
224,654
225,654
226,654
227,654
228,654
229,654
230,654
231,654
232,654
233,654
234,654
235,654
236,654
237,654
238,654
239,654
240,654
241,654
242,654
243,654
244,654
245,654
246,654
247,654
248,654
249,654
250,654
251,654
252,654
253,654
254,654
255,654
256,654
257,654
258,654
259,654
260,654
261,654
262,654
263,654
264,654
265,654
266,654
267,654
268,654
269,654
270,654
271,654
272,654
273,654
274,654
275,654
276,654
277,654
278,654
279,654
280,654
281,654
282,654
283,654
284,654
285,654
286,654
287,654
288,654
289,654
290,654
291,654
292,654
293,654
294,654
295,654
296,654
297,654
298,654
299,654
300,654
301,654
302,654
303,654
304,654
305,654
306,654
307,654
308,654
309,654
310,654
311,654
312,654
313,654
314,654
315,654
316,654
317,654
318,654
319,654
320,654
321,654
322,654
323,654
324,654
325,654
326,654
327,654
328,654
329,654
330,654
331,654
332,654
333,654
334,654
335,654
336,654
337,654
338,654
339,654
340,654
341,654
342,654
343,654
344,654
345,654
346,654
347,654
348,654
349,654
350,654
351,654
352,654
353,654
354,654
355,654
356,654
357,654
358,654
359,654
360,654
361,654
362,654
363,654
364,654
365,654
366,654
367,654
368,654
369,654
370,654
371,654
372,654
373,654
374,654
375,654
376,654
377,654
378,654
379,654
380,654
381,654
382,654
383,654
384,654
385,654
386,654
387,654
388,654
389,654
390,654
391,654
392,654
393,654
394,654
395,654
396,654
397,654
398,654
399,654
400,654
401,654
402,654
403,654
404,654
405,654
406,654
407,654
408,654
409,654
410,654
411,654
412,654
413,654
414,654
415,654
416,654
417,654
418,654
419,654
420,654
421,654
422,654
423,654
424,654
425,654
426,654
427,654
428,654
429,654
430,654
431,654
432,654
433,654
434,654
435,654
436,654
437,654
438,654
439,654
440,654
441,654
442,654
443,654
444,654
445,654
446,654
447,654
448,654
449,654
450,654
451,654
452,654
453,654
454,654
455,654
456,654
457,654
458,654
459,654
460,654
461,654
462,654
463,654
464,654
465,654
466,654
467,654
468,654
469,654
470,654
471,654
472,654
473,654
474,654
475,654
476,654
477,654
478,654
479,654
480,654
481,654
482,654
483,654
484,654
485,654
486,654
487,654
488,654
489,654
490,654
491,654
492,654
493,654
494,654
495,654
496,654
497,654
498,654
499,654
500,654
501,654
502,654
503,654
504,654
505,654
506,654
507,654
508,654
509,654
510,654
511,654
512,654
513,654
514,654
515,654
516,654
517,654
518,654
519,654
520,654
521,654
522,654
523,654
524,654
525,654
526,654
527,654
528,654
529,654
530,654
531,654
532,654
533,654
534,654
535,654
536,654
537,654
538,654
539,654
540,654
541,654
542,654
543,654
544,654
545,654
546,654
547,654
548,654
549,654
550,654
551,654
552,654
553,654
554,654
555,654
556,654
557,654
558,654
559,654
560,654
561,654
562,654
563,654
564,654
565,654
566,654
567,654
568,654
569,654
570,654
571,654
572,654
573,654
574,654
575,654
576,654
577,654
578,654
579,654
580,654
581,654
582,654
583,654
584,654
585,654
586,654
587,654
588,654
589,654
590,654
591,654
592,654
593,654
594,654
595,654
596,654
597,654
598,654
599,654
600,654
601,654
602,654
603,654
604,654
605,654
606,654
607,654
608,654
609,654
610,654
611,654
612,654
613,654
614,654
615,654
616,654
617,654
618,654
619,654
620,654
621,654
622,654
623,654
624,654
625,654
626,654
627,654
628,654
629,654
630,654
631,654
632,654
633,654
634,654
635,654
636,654
637,654
638,654
639,654
640,654
641,654
642,654
643,654
644,654
645,654
646,654
647,654
648,654
649,654
650,654
651,654
652,654
653,654
654,654
655,654
656,654
657,654
658,654
659,654
660,654
661,654
662,654
663,654
664,654
665,654
666,654
667,654
668,654
669,654
670,654
671,654
672,654
673,654
674,654
675,654
676,654
677,654
678,654
679,654
680,654
681,654
682,654
683,654
684,654
685,654
686,654
687,654
688,654
689,654
690,654
691,654
692,654
693,654
694,654
695,654
696,654
697,654
698,654
699,654
700,654
701,654
702,654
703,654
704,654
705,654
706,654
707,654
708,654
709,654
710,654
711,654
712,654
713,654
714,654
715,654
716,654
717,654
718,654
719,654
720,654
721,654
722,654
723,654
724,654
725,654
726,654
727,654
728,654
729,654
730,654
731,654
732,654
733,654
734,654
735,654
736,654
737,654
738,654
739,654
740,654
741,654
742,654
743,654
744,654
745,654
746,654
747,654
748,654
749,654
750,654
751,654
752,654
753,654
754,654
755,654
756,654
757,654
758,654
759,654
760,654
761,654
762,654
763,654
764,654
765,654
766,654
767,654
768,654
769,654
770,654
771,654
772,654
773,654
774,654
775,654
776,654
777,654
778,654
779,654
780,654
781,654
782,654
783,654
784,654
785,654
786,654
787,654
788,654
789,654
790,654
791,654
792,654
793,654
794,654
795,654
796,654
797,654
798,654
799,654
800,654
801,654
802,654
803,654
804,654
805,654
806,654
807,654
808,654
809,654
810,654
811,654
812,654
813,654
814,654
815,654
816,654
817,654
818,654
819,654
820,654
821,654
822,654
823,654
824,654
825,654
826,654
827,654
828,654
829,654
830,654
831,654
832,654
833,654
