frame,pupil
1,1562
2,1562
3,1562
4,1562
5,1562
6,1562
7,1562
8,1562
9,1562
10,1562
11,1562
12,1562
13,1562
14,1562
15,1562
16,1562
17,1562
18,1562
19,1562
20,1562
21,1562
22,1562
23,1562
24,1562
25,1562
26,1562
27,1562
28,1562
29,1562
30,1562
31,1562
32,1562
33,1562
34,1562
35,1562
36,1562
37,1562
38,1562
39,1562
40,1562
41,1562
42,1562
43,1562
44,1562
45,1562
46,1562
47,1562
48,1562
49,1562
50,1562
51,1562
52,1562
53,1562
54,1562
55,1562
56,1562
57,1562
58,1562
59,1562
60,1562
61,1562
62,1562
63,1562
64,1562
65,1562
66,1562
67,1562
68,1562
69,1562
70,1562
71,1562
72,1562
73,1562
74,1562
75,1562
76,1562
77,1562
78,1562
79,1562
80,1562
81,1562
82,1562
83,1562
84,1562
85,1562
86,1562
87,1562
88,1562
89,1562
90,1562
91,1562
92,1562
93,1562
94,1562
95,1562
96,1562
97,1562
98,1562
99,1562
100,1562
101,1562
102,1562
103,1562
104,1562
105,1562
106,1562
107,1562
108,1562
109,1562
110,1562
111,1562
112,1562
113,1562
114,1562
115,1562
116,1562
117,1562
118,1562
119,1562
120,1562
121,1562
122,1562
123,1562
124,1562
125,1562
126,1562
127,1562
128,1562
129,1562
130,1562
131,1562
132,1562
133,1562
134,1562
135,1562
136,1562
137,1562
138,1562
139,1562
140,1562
141,1562
142,1562
143,1562
144,1562
145,1562
146,1562
147,1562
148,1562
149,1562
150,1562
151,1562
152,1562
153,1562
154,1562
155,1562
156,1562
157,1562
158,1562
159,1562
160,1562
161,1562
162,1562
163,1562
164,1562
165,1562
166,1562
167,1562
168,1562
169,1562
170,1562
171,1562
172,1562
173,1562
174,1562
175,1562
176,1562
177,1562
178,1562
179,1562
180,1562
181,1562
182,1562
183,1562
184,1562
185,1562
186,1562
187,1562
188,1562
189,1562
190,1562
191,1562
192,1562
193,1562
194,1562
195,1562
196,1562
197,1562
198,1562
199,1562
200,1562
201,1562
202,1562
203,1562
204,1562
205,1562
206,1562
207,1562
208,1562
209,1562
210,1562
211,1562
212,1562
213,1562
214,1562
215,1562
216,1562
217,1562
218,1562
219,1562
220,1562
221,1562
222,1562
223,1562
224,1562
225,1562
226,1562
227,1562
228,1562
229,1562
230,1562
231,1562
232,1562
233,1562
234,1562
235,1562
236,1562
237,1562
238,1562
239,1562
240,1562
241,1562
242,1562
243,1562
244,1562
245,1562
246,1562
247,1562
248,1562
249,1562
250,1562
251,1562
252,1562
253,1562
254,1562
255,1562
256,1562
257,1562
258,1562
259,1562
260,1562
261,1562
262,1562
263,1562
264,1562
265,1562
266,1562
267,1562
268,1562
269,1562
270,1562
271,1562
272,1562
273,1562
274,1562
275,1562
276,1562
277,1562
278,1562
279,1562
280,1562
281,1562
282,1562
283,1562
284,1562
285,1562
286,1562
287,1562
288,1562
289,1562
290,1562
291,1562
292,1562
293,1562
294,1562
295,1562
296,1562
297,1562
298,1562
299,1562
300,1562
301,1562
302,1562
303,1562
304,1562
305,1562
306,1562
307,1562
308,1562
309,1562
310,1562
311,1562
312,1562
313,1562
314,1562
315,1562
316,1562
317,1562
318,1562
319,1562
320,1562
321,1562
322,1562
323,1562
324,1562
325,1562
326,1562
327,1562
328,1562
329,1562
330,1562
331,1562
332,1562
333,1562
334,1562
335,1562
336,1562
337,1562
338,1562
339,1562
340,1562
341,1562
342,1562
343,1562
344,1562
345,1562
346,1562
347,1562
348,1562
349,1562
350,1562
351,1562
352,1562
