frame,pupil
1,821
2,821
3,821
4,821
5,821
6,821
7,821
8,821
9,821
10,821
11,821
12,821
13,821
14,821
15,821
16,821
17,821
18,821
19,821
20,821
21,821
22,821
23,821
24,821
25,821
26,821
27,821
28,821
29,821
30,821
31,821
32,821
33,821
34,821
35,821
36,821
37,821
38,821
39,821
40,821
41,821
42,821
43,821
44,821
45,821
46,821
47,821
48,821
49,821
50,821
51,821
52,821
53,821
54,821
55,821
56,821
57,821
58,821
59,821
60,821
61,821
62,821
63,821
64,821
65,821
66,821
67,821
68,821
69,821
70,821
71,821
72,821
73,821
74,821
75,821
76,821
77,821
78,821
79,821
80,821
81,821
82,821
83,821
84,821
85,821
86,821
87,821
88,821
89,821
90,821
91,821
92,821
93,821
94,821
95,821
96,821
97,821
98,821
99,821
100,821
101,821
102,821
103,821
104,821
105,821
106,821
107,821
108,821
109,821
110,821
111,821
112,821
113,821
114,821
115,821
116,821
117,821
118,821
119,821
120,821
121,821
122,821
123,821
124,821
125,821
126,821
127,821
128,821
129,821
130,821
131,821
132,821
133,821
134,821
135,821
136,821
137,821
138,821
139,821
140,821
141,821
142,821
143,821
144,821
145,821
146,821
147,821
148,821
149,821
150,821
151,821
152,821
153,821
154,821
155,821
156,821
157,821
158,821
159,821
160,821
161,821
162,821
163,821
164,821
165,821
166,821
167,821
168,821
169,821
170,821
171,821
172,821
173,821
174,821
175,821
176,821
177,821
178,821
179,821
180,821
181,821
182,821
183,821
184,821
185,821
186,821
187,821
188,821
189,821
190,821
191,821
192,821
193,821
194,821
195,821
196,821
197,821
198,821
199,821
200,821
201,821
202,821
203,821
204,821
205,821
206,821
207,821
208,821
209,821
210,821
211,821
212,821
213,821
214,821
215,821
216,821
217,821
218,821
219,821
220,821
221,821
222,821
223,821
224,821
225,821
226,821
227,821
228,821
229,821
230,821
231,821
232,821
233,821
234,821
235,821
236,821
237,821
238,821
239,821
240,821
241,821
242,821
243,821
244,821
245,821
246,821
247,821
248,821
249,821
250,821
251,821
252,821
253,821
254,821
255,821
256,821
257,821
258,821
259,821
260,821
261,821
262,821
263,821
264,821
265,821
266,821
267,821
268,821
269,821
270,821
271,821
272,821
273,821
274,821
275,821
276,821
277,821
278,821
279,821
280,821
281,821
282,821
283,821
284,821
285,821
286,821
287,821
288,821
289,821
290,821
291,821
292,821
293,821
294,821
295,821
296,821
297,821
298,821
299,821
300,821
301,821
302,821
303,821
304,821
305,821
306,821
307,821
308,821
309,821
310,821
311,821
312,821
313,821
314,821
315,821
316,821
317,821
318,821
319,821
320,821
321,821
322,821
323,821
324,821
325,821
326,821
327,821
328,821
329,821
330,821
331,821
332,821
333,821
334,913
335,913
336,913
337,913
338,913
339,913
340,913
341,913
342,913
343,913
344,913
345,913
346,913
347,913
348,913
349,913
350,913
351,913
352,913
353,913
354,913
355,913
356,913
357,913
358,913
359,913
360,913
361,913
362,913
363,913
364,913
365,913
366,913
367,913
368,913
369,913
370,913
371,913
372,913
373,913
374,913
375,913
376,913
377,913
378,913
379,913
380,913
381,913
382,913
383,913
384,913
385,913
386,913
387,913
388,913
389,913
390,913
391,913
392,913
393,913
394,913
395,913
396,913
397,913
398,913
399,913
400,913
401,913
402,913
403,913
404,913
405,913
406,913
407,913
408,913
409,913
410,913
411,913
412,913
413,913
414,913
415,913
416,913
417,913
418,913
419,913
420,913
421,913
422,913
423,913
424,913
425,913
426,913
427,913
428,913
429,913
430,913
431,913
432,913
433,913
434,913
435,913
436,913
437,913
438,913
439,913
440,913
441,913
442,913
443,913
444,913
445,913
446,913
447,913
448,913
449,913
450,913
451,913
452,913
453,913
454,913
455,913
456,913
457,913
458,913
459,913
460,913
461,913
462,913
463,913
464,913
465,913
466,913
467,913
468,913
469,913
470,913
471,913
472,913
473,913
474,913
475,913
476,913
477,913
478,913
479,913
480,913
481,913
482,913
483,913
484,913
485,913
486,913
487,913
488,913
489,913
490,913
491,913
492,913
493,913
494,913
495,913
496,913
497,913
498,913
499,913
500,913
501,913
502,913
503,913
504,913
505,913
506,913
507,913
508,913
509,913
510,913
511,913
512,913
513,913
514,913
515,913
516,913
517,913
518,913
519,913
520,913
521,913
522,913
523,913
524,913
525,913
526,913
527,913
528,913
529,913
530,913
531,913
532,913
533,913
534,913
535,913
536,913
537,913
538,913
539,913
540,913
541,913
542,913
543,913
544,913
545,913
546,913
547,913
548,913
549,913
550,913
551,913
552,913
553,913
554,913
555,913
556,913
557,913
558,913
559,913
560,913
561,913
562,913
563,913
564,913
565,913
566,913
567,913
568,913
569,913
570,913
571,913
572,913
573,913
574,913
575,913
576,913
577,913
578,913
579,913
580,913
581,913
582,913
583,913
584,913
585,913
586,913
587,913
588,913
589,913
590,913
591,913
592,913
593,913
594,913
595,913
596,913
597,913
598,913
599,913
600,913
601,913
602,913
603,913
604,913
605,913
606,913
607,913
608,913
609,913
610,913
611,913
612,913
613,913
614,913
615,913
616,913
617,913
618,913
619,913
620,913
621,913
622,913
623,913
624,913
625,913
626,913
627,913
628,913
629,913
630,913
631,913
632,913
633,913
634,913
635,913
636,913
637,913
638,913
639,913
640,913
641,913
642,913
643,913
644,913
645,913
646,913
647,913
648,913
649,913
650,913
651,913
652,913
653,913
654,913
655,913
656,913
657,913
658,913
659,913
660,913
661,913
662,913
663,913
664,913
665,913
666,913
667,913
668,913
669,913
670,913
671,913
672,913
673,913
674,913
675,913
676,913
677,913
678,913
679,913
680,913
681,913
682,913
683,913
684,913
685,913
686,913
687,913
688,913
689,913
690,913
691,913
692,913
693,913
694,913
695,913
696,913
697,913
698,913
699,913
700,913
701,913
702,913
703,913
704,913
705,913
706,913
707,913
708,913
709,913
710,913
711,913
712,913
713,913
714,913
715,913
716,913
717,913
718,913
719,913
720,913
721,913
722,913
723,913
724,913
725,913
726,913
727,913
728,913
729,913
730,913
731,913
732,913
733,913
734,913
735,913
736,913
737,913
738,913
739,913
740,913
741,913
742,913
743,913
744,913
745,913
746,913
747,913
748,913
749,913
750,913
751,913
752,913
753,913
754,913
755,913
756,913
757,913
758,913
759,913
760,913
761,913
762,913
763,913
764,913
765,913
766,913
767,913
768,913
769,913
770,913
771,913
772,913
773,913
774,913
775,913
776,913
777,913
778,913
779,913
780,913
781,913
782,913
783,913
784,913
785,913
786,913
787,913
788,913
789,913
790,913
791,913
792,913
793,913
794,913
795,913
796,913
797,913
798,913
799,913
800,913
801,913
802,913
803,913
804,913
805,913
806,913
807,913
808,913
809,913
810,913
811,913
812,913
813,913
814,913
815,913
816,913
817,913
818,913
819,913
820,913
821,913
822,913
823,913
824,913
825,913
826,913
827,913
828,913
829,913
830,913
831,913
832,913
833,913
834,913
835,913
836,913
837,913
838,913
839,913
840,913
841,913
842,913
843,913
844,913
845,913
846,913
847,913
848,913
849,913
850,913
851,913
852,913
853,913
854,913
855,913
856,913
857,913
858,913
859,913
860,913
861,913
862,913
863,913
864,913
865,913
866,913
867,913
868,913
869,913
870,913
871,913
872,913
873,913
874,913
875,913
876,913
877,913
878,913
879,913
880,913
881,913
882,913
883,913
884,913
885,913
886,913
887,913
888,913
889,913
890,913
891,913
892,913
893,913
894,913
895,913
896,913
897,913
898,913
899,913
900,913
901,913
902,913
903,913
904,913
905,913
906,913
907,913
908,913
909,913
910,913
911,913
912,913
913,913
914,913
915,913
916,913
917,913
918,913
919,913
920,913
921,913
922,913
923,913
924,913
925,913
926,913
927,913
928,913
929,913
930,913
931,913
932,913
933,913
934,913
935,913
936,913
937,913
938,913
939,913
940,913
941,913
942,913
943,913
944,913
945,913
946,913
947,913
948,913
949,913
950,913
951,913
952,913
953,913
954,913
955,913
956,913
957,913
958,913
959,913
960,913
961,913
962,913
963,913
964,913
965,913
966,913
967,913
968,913
969,913
970,913
971,913
972,913
973,913
974,913
975,913
976,913
977,913
978,913
979,913
980,913
981,913
982,913
983,913
984,913
985,913
986,913
987,913
988,913
989,913
990,913
991,913
992,913
993,913
994,913
995,913
996,913
997,913
998,913
999,913
1000,913
1001,913
1002,913
1003,913
1004,913
1005,913
1006,913
1007,913
1008,913
1009,913
1010,913
1011,913
1012,913
1013,913
1014,913
1015,913
1016,913
1017,913
1018,913
1019,913
1020,913
1021,913
1022,913
1023,913
1024,913
1025,913
1026,913
1027,913
1028,913
1029,913
1030,913
1031,913
1032,913
1033,913
1034,913
1035,913
1036,913
1037,913
1038,913
1039,913
1040,913
1041,913
1042,913
1043,913
1044,913
1045,913
1046,913
1047,913
1048,913
1049,913
1050,913
1051,913
1052,913
1053,913
1054,913
1055,913
1056,913
1057,913
1058,913
1059,913
1060,913
1061,913
1062,913
1063,913
1064,913
1065,913
1066,913
1067,913
1068,913
1069,913
1070,913
1071,913
1072,913
1073,913
1074,913
1075,913
1076,913
1077,913
1078,913
1079,913
1080,913
1081,913
1082,913
1083,913
1084,913
1085,913
1086,913
1087,913
1088,913
1089,913
1090,913
1091,913
1092,913
1093,913
1094,913
1095,913
1096,913
1097,913
1098,913
1099,913
1100,913
1101,913
1102,913
1103,913
1104,913
1105,913
1106,913
1107,913
1108,913
1109,913
1110,913
1111,913
1112,913
1113,913
1114,913
1115,913
1116,913
1117,913
1118,913
1119,913
1120,913
1121,913
1122,913
1123,913
1124,913
1125,913
1126,913
1127,913
1128,913
1129,913
1130,913
1131,913
1132,913
1133,913
1134,913
1135,913
1136,913
1137,913
1138,913
1139,913
1140,913
1141,913
1142,913
1143,913
1144,913
1145,913
1146,913
1147,913
1148,913
1149,913
1150,913
1151,913
1152,913
1153,913
1154,913
1155,913
1156,913
1157,913
1158,913
1159,913
1160,913
1161,913
1162,913
1163,913
1164,913
1165,913
1166,913
1167,913
1168,913
1169,913
1170,913
1171,913
1172,913
1173,913
1174,913
1175,913
1176,913
1177,913
1178,913
1179,913
1180,913
1181,913
1182,913
1183,913
1184,913
1185,913
1186,913
1187,913
1188,913
1189,913
1190,913
1191,913
1192,913
1193,913
1194,913
1195,913
1196,913
1197,913
1198,913
1199,913
1200,913
1201,913
1202,913
1203,913
1204,913
1205,913
1206,913
1207,913
1208,913
1209,913
1210,913
1211,913
1212,913
1213,913
1214,913
1215,913
1216,913
1217,913
1218,913
1219,913
1220,913
1221,913
1222,913
1223,913
1224,913
1225,913
1226,913
1227,913
1228,913
1229,913
1230,913
1231,913
1232,913
1233,913
1234,913
1235,913
1236,913
1237,913
1238,913
1239,913
1240,913
1241,913
1242,913
1243,913
1244,913
1245,913
1246,913
