frame,pupil
1,685
2,685
3,685
4,685
5,685
6,685
7,685
8,685
9,685
10,685
11,685
12,685
13,685
14,685
15,685
16,685
17,685
18,685
19,685
20,685
21,685
22,685
23,685
24,685
25,685
26,685
27,685
28,685
29,685
30,685
31,685
32,685
33,685
34,685
35,685
36,685
37,685
38,685
39,685
40,685
41,685
42,685
43,685
44,685
45,685
46,685
47,685
48,685
49,685
50,685
51,685
52,685
53,685
54,685
55,685
56,685
57,685
58,685
59,685
60,685
61,685
62,685
63,685
64,685
65,685
66,685
67,685
68,685
69,685
70,685
71,685
72,685
73,685
74,685
75,685
76,685
77,685
78,685
79,685
80,685
81,685
82,685
83,685
84,685
85,685
86,685
87,685
88,685
89,685
90,685
91,685
92,685
93,685
94,685
95,685
96,685
97,685
98,685
99,685
100,685
101,685
102,685
103,685
104,685
105,685
106,685
107,685
108,685
109,685
110,685
111,685
112,685
113,685
114,685
115,685
116,685
117,685
118,685
119,685
120,685
121,685
122,685
123,685
124,685
125,685
126,685
127,685
128,685
129,685
130,685
131,685
132,685
133,685
134,685
135,685
136,685
137,685
138,685
139,685
140,685
141,685
142,685
143,685
144,685
145,685
146,685
147,685
148,685
149,685
150,685
151,685
152,685
153,685
154,685
155,685
156,685
157,685
158,685
159,685
160,685
161,685
162,685
163,685
164,685
165,685
166,685
167,685
168,685
169,685
170,685
171,685
172,685
173,685
174,685
175,685
176,685
177,685
178,685
179,685
180,685
181,685
182,685
183,685
184,685
185,685
186,685
187,685
188,685
189,685
190,685
191,685
192,685
193,685
194,685
195,685
196,635
197,635
198,635
199,635
200,635
201,635
202,635
203,635
204,635
205,635
206,635
207,635
208,635
209,635
210,635
211,635
212,635
213,635
214,635
215,635
216,635
217,635
218,635
219,635
220,635
221,635
222,635
223,635
224,635
225,635
226,635
227,635
228,635
229,635
230,635
231,635
232,635
233,635
234,635
235,635
236,635
237,635
238,635
239,635
240,635
241,635
242,635
243,635
244,635
245,635
246,635
247,635
248,635
249,635
250,635
251,635
252,635
253,635
254,635
255,635
256,635
257,635
258,635
259,635
260,635
261,635
262,635
263,635
264,635
265,635
266,635
267,635
268,635
269,635
270,635
271,635
272,635
273,635
274,635
275,635
276,635
277,635
278,635
279,635
280,635
281,635
282,635
283,635
284,635
285,635
286,635
287,635
288,635
289,635
290,635
291,635
292,635
293,635
294,635
295,635
296,635
297,635
298,635
299,635
300,635
301,635
302,635
303,635
304,635
305,635
306,635
307,635
308,635
309,635
310,635
311,635
312,635
313,635
314,635
315,635
316,635
317,635
318,635
319,635
320,635
321,635
322,635
323,635
324,635
325,635
326,635
327,635
328,635
329,635
330,635
331,635
332,635
333,635
334,635
335,635
336,635
337,635
338,635
339,635
340,635
341,635
342,635
343,635
344,635
345,635
346,635
347,635
348,635
349,635
350,635
351,635
352,635
353,635
354,635
355,635
356,635
357,635
358,635
359,635
360,635
361,635
362,635
363,635
364,635
365,635
366,635
367,635
368,635
369,635
370,635
371,635
372,635
373,635
374,635
375,635
376,635
377,635
378,635
379,635
380,635
381,635
382,635
383,635
384,635
385,635
386,635
387,635
388,635
389,635
390,635
391,635
392,635
393,635
394,635
395,635
396,635
397,635
398,635
399,635
400,635
401,635
402,635
403,635
404,635
405,635
406,635
407,635
408,635
409,635
410,635
411,635
412,635
413,635
414,635
415,635
416,635
417,635
418,635
419,635
420,635
421,635
422,635
423,635
424,635
425,635
426,635
427,635
428,635
429,635
430,635
431,635
432,635
433,635
434,635
435,635
436,635
437,635
438,635
439,635
440,635
441,635
442,635
443,635
444,635
445,635
446,635
447,635
448,635
449,635
450,635
451,635
452,635
453,635
454,635
455,635
456,635
457,635
458,635
459,635
460,635
461,635
462,635
463,635
464,635
465,635
466,635
467,635
468,635
469,635
470,635
471,635
472,635
473,635
474,635
475,635
476,635
477,635
478,635
479,635
480,635
481,635
482,635
483,635
484,635
485,635
486,635
487,635
488,635
489,635
490,635
491,635
492,635
493,635
494,635
495,635
496,635
497,635
498,635
499,635
500,635
501,635
502,635
503,635
504,635
505,635
506,635
507,635
508,635
509,635
510,635
511,635
512,635
513,635
514,635
515,635
516,635
517,635
518,635
519,635
520,635
521,635
522,635
523,635
524,635
525,635
526,635
527,635
528,635
529,635
530,635
531,635
532,635
533,635
534,635
535,635
536,635
537,635
538,635
539,635
540,635
541,635
542,635
543,635
544,635
545,635
546,635
547,635
548,635
549,635
550,635
551,635
552,635
553,635
554,635
555,635
556,635
557,635
558,635
559,635
560,635
561,635
562,635
563,635
564,635
565,635
566,635
567,635
568,635
569,635
570,635
571,635
572,635
573,635
574,635
575,635
576,635
577,635
578,635
579,635
580,635
581,635
582,635
583,635
584,635
585,635
586,635
587,635
588,635
589,635
590,635
591,635
592,635
593,635
594,635
595,635
596,635
597,635
598,635
599,635
600,635
601,635
602,635
603,635
604,635
605,635
606,635
607,635
608,635
609,635
610,635
611,635
612,635
613,635
614,635
615,635
616,635
617,635
618,635
619,635
620,635
621,635
622,635
623,635
624,635
625,635
626,635
627,635
628,635
629,635
630,635
631,635
632,635
633,635
634,635
635,635
636,635
637,635
638,635
639,635
640,635
641,635
642,635
643,635
644,635
645,635
646,635
647,635
648,635
649,635
650,635
651,635
652,635
653,635
654,635
655,635
656,635
657,635
658,635
659,635
660,635
661,635
662,635
663,635
664,635
665,635
666,635
667,635
668,635
669,635
670,635
671,635
672,635
673,635
674,635
675,635
676,635
677,635
678,635
679,635
680,635
681,635
682,635
683,635
684,635
685,635
686,635
687,635
688,635
689,635
690,635
691,635
692,635
693,635
694,635
695,635
696,635
697,635
698,635
699,635
700,635
701,635
702,635
703,635
704,635
705,635
706,635
707,635
708,635
709,635
710,635
711,635
712,635
713,635
714,635
715,635
716,635
717,635
718,635
719,635
720,635
721,635
722,635
723,635
724,635
725,635
726,635
727,635
728,635
729,635
730,635
731,635
732,635
733,635
734,635
735,635
736,635
737,635
738,635
739,635
740,635
741,635
742,635
743,635
744,635
745,635
746,635
747,635
748,635
749,635
750,635
751,635
752,635
753,635
754,635
755,635
756,635
757,635
758,635
759,635
760,635
761,635
762,635
763,635
764,635
765,635
766,635
767,635
768,635
769,635
770,635
771,635
772,635
773,635
774,635
775,635
776,635
777,635
778,635
779,635
780,635
781,635
782,635
783,635
784,635
785,635
786,635
787,635
788,635
789,635
790,635
791,635
792,635
793,635
794,635
795,635
796,635
797,635
798,635
799,635
800,635
801,635
802,635
803,635
804,635
805,635
806,635
807,635
808,635
809,635
810,635
811,635
812,635
813,635
814,635
815,635
816,635
817,635
818,635
819,616
820,616
821,616
822,616
823,616
824,616
825,616
826,616
827,616
828,616
829,616
830,616
831,616
832,616
833,616
834,616
835,616
836,616
837,616
838,616
839,616
840,616
841,616
842,616
843,616
844,616
845,616
846,616
847,616
848,616
849,616
850,616
851,616
852,616
853,616
854,616
855,616
856,616
857,616
858,616
859,616
860,616
861,616
862,616
863,616
864,616
865,616
866,616
867,616
868,616
869,616
870,616
871,616
872,616
873,616
874,616
875,616
876,616
877,616
878,616
879,616
880,616
881,616
882,616
883,616
884,616
885,616
886,616
887,616
888,616
889,616
890,616
891,616
892,616
893,616
894,616
895,616
896,616
897,616
898,616
899,616
900,616
901,616
902,616
903,616
904,616
905,616
906,616
907,616
908,616
909,616
910,616
911,616
912,616
913,616
914,616
915,616
916,616
917,616
918,616
919,616
920,616
921,616
922,616
923,616
924,616
925,616
926,616
927,616
