frame,pupil
1,1502
2,1502
3,1502
4,1502
5,1502
6,1502
7,1502
8,1502
9,1502
10,1502
11,1502
12,1502
13,1502
14,1502
15,1502
16,1502
17,1502
18,1502
19,1502
20,1502
21,1502
22,1502
23,1502
24,1502
25,1502
26,1502
27,1502
28,1502
29,1502
30,1502
31,1502
32,1502
33,1502
34,1502
35,1502
36,1502
37,1502
38,1502
39,1502
40,1502
41,1502
42,1502
43,1502
44,1502
45,1502
46,1502
47,1502
48,1502
49,1502
50,1502
51,1502
52,1502
53,1502
54,1502
55,1502
56,1502
57,1502
58,1502
59,1502
60,1502
61,1502
62,1502
63,1502
64,1502
65,1502
66,1502
67,1502
68,1502
69,1502
70,1502
71,1502
72,1502
73,1502
74,1502
75,1502
76,1502
77,1502
78,1502
79,1502
80,1502
81,1502
82,1502
83,1502
84,1502
85,1502
86,1502
87,1502
88,1502
89,1502
90,1502
91,1502
92,1502
93,1502
94,1502
95,1502
96,1502
97,1502
98,1502
99,1502
100,1502
101,1502
102,1502
103,1502
104,1502
105,1502
106,1502
107,1502
108,1502
109,1502
110,1502
111,1502
112,1502
113,1502
114,1502
115,1502
116,1502
117,1502
118,1502
119,1502
120,1502
121,1502
122,1502
123,1502
124,1502
125,1502
126,1502
127,1502
128,1502
129,1502
130,1502
131,1502
132,1502
133,1502
134,1502
135,1502
136,1502
137,1502
138,1502
139,1502
140,1502
141,1502
142,1502
143,1502
144,1502
145,1502
146,1502
147,1502
148,1502
149,1502
150,1502
151,1502
152,1502
153,1502
154,1502
155,1502
156,1502
157,1502
158,1502
159,1502
160,1502
161,1502
162,1502
163,1502
164,1502
165,1502
166,1502
167,1502
168,1502
169,1502
170,1502
171,1502
172,1502
173,1502
174,1502
175,1502
176,1502
177,1502
178,1502
179,1502
180,1502
181,1502
182,1502
183,1502
184,1502
185,1502
186,1502
187,1502
188,1502
189,1502
190,1396
191,1396
192,1396
193,1396
194,1396
195,1396
196,1396
197,1396
198,1396
199,1396
200,1396
201,1396
202,1396
203,1396
204,1396
205,1396
206,1396
207,1396
208,1396
209,1396
210,1396
211,1396
212,1396
213,1396
214,1396
215,1396
216,1396
217,1396
218,1396
219,1396
220,1396
221,1396
222,1396
223,1396
224,1396
225,1396
226,1396
227,1396
228,1396
229,1396
230,1396
231,1396
232,1396
233,1396
234,1396
235,1396
236,1396
237,1396
238,1396
239,1396
240,1396
241,1396
242,1396
243,1396
244,1396
245,1396
246,1396
247,1396
248,1396
249,1396
250,1396
251,1396
252,1396
253,1396
254,1396
255,1396
256,1396
257,1396
258,1396
259,1396
260,1396
261,1396
262,1396
263,1396
264,1396
265,1396
266,1396
267,1396
268,1396
269,1396
270,1396
271,1396
272,1396
273,1396
274,1396
275,1396
276,1396
277,1396
278,1396
279,1396
280,1396
281,1396
282,1396
283,1396
284,1396
285,1396
286,1396
287,1396
288,1396
289,1396
290,1396
291,1396
292,1396
293,1396
294,1396
295,1396
296,1396
297,1396
298,1396
299,1396
300,1396
301,1396
302,1396
303,1396
304,1396
305,1396
306,1396
307,1396
308,1396
309,1396
310,1396
311,1396
312,1396
313,1396
314,1396
315,1396
316,1396
317,1396
318,1396
319,1396
320,1396
321,1396
322,1396
323,1396
324,1396
325,1396
326,1396
327,1396
328,1396
329,1396
330,1396
331,1396
332,1396
333,1396
334,1396
335,1396
336,1396
337,1396
338,1396
339,1396
340,1396
341,1396
342,1396
343,1396
344,1396
345,1396
346,1396
347,1396
348,1396
349,1396
350,1396
351,1396
352,1396
353,1396
354,1396
355,1396
356,1396
357,1396
358,1396
359,1396
360,1396
361,1396
362,1396
363,1396
364,1396
365,1396
366,1396
367,1396
368,1396
369,1396
370,1396
371,1396
372,1396
373,1396
374,1396
375,1396
376,1396
377,1396
378,1396
379,1396
380,1396
381,1396
382,1396
383,1396
384,1396
385,1396
386,1396
387,1396
388,1396
389,1396
390,1396
391,1396
392,1396
393,1396
394,1396
395,1396
396,1396
397,1396
398,1396
399,1396
400,1396
401,1396
402,1396
403,1396
404,1396
405,1396
406,1396
407,1396
408,1396
409,1396
410,1396
411,1396
412,1396
413,1396
414,1396
415,1396
416,1396
417,1396
418,1396
419,1396
420,1396
421,1396
422,1396
423,1396
424,1396
425,1396
426,1396
427,1396
428,1396
429,1396
430,1396
431,1396
432,1396
433,1396
434,1396
435,1396
436,1396
437,1396
438,1396
439,1396
440,1396
441,1396
442,1396
443,1396
444,1396
445,1396
446,1396
447,1396
448,1396
449,1396
450,1396
451,1396
452,1396
453,1396
454,1396
455,1396
456,1396
457,1396
458,1396
459,1396
460,1396
461,1396
462,1396
463,1396
464,1396
465,1396
466,1396
467,1396
468,1396
469,1396
470,1396
471,1396
472,1396
473,1396
474,1396
475,1396
476,1396
477,1396
478,1396
479,1396
480,1396
481,1396
482,1396
483,1396
484,1396
485,1396
486,1396
487,1396
488,1396
489,1396
490,1396
491,1396
492,1396
493,1396
494,1396
495,1396
496,1396
497,1396
498,1396
499,1396
500,1396
501,1396
502,1396
503,1396
504,1396
505,1396
506,1396
507,1396
508,1396
509,1396
510,1396
511,1396
512,1396
513,1396
514,1396
515,1396
516,1396
517,1396
518,1396
519,1396
520,1396
521,1396
522,1396
523,1396
524,1396
525,1396
526,1396
527,1396
528,1396
529,1396
530,1396
531,1396
532,1396
533,1396
534,1396
535,1396
536,1396
537,1396
538,1396
539,1396
540,1396
541,1396
542,1396
543,1396
544,1396
545,1396
546,1396
547,1396
548,1396
549,1396
550,1396
551,1396
552,1396
553,1396
554,1396
555,1396
556,1396
557,1396
558,1396
559,1396
560,1396
561,1396
562,1396
563,1396
564,1396
565,1396
566,1396
567,1396
568,1396
569,1396
570,1396
571,1396
572,1396
573,1396
574,1396
575,1396
576,1396
577,1396
578,1396
579,1396
580,1396
581,1396
582,1396
583,1396
584,1396
585,1396
586,1396
587,1396
588,1396
589,1396
590,1396
591,1396
592,1396
593,1396
594,1396
595,1396
596,1396
597,1396
598,1396
599,1396
600,1396
601,1396
602,1396
603,1396
604,1396
605,1396
606,1396
607,1396
608,1396
609,1396
610,1396
611,1396
612,1396
613,1396
614,1396
615,1396
616,1396
617,1396
618,1396
619,1396
620,1396
621,1396
622,1396
623,1396
624,1396
625,1396
626,1396
627,1396
628,1396
629,1396
630,1396
631,1396
632,1396
633,1396
634,1396
635,1396
636,1396
637,1396
638,1396
639,1396
640,1396
641,1396
642,1396
643,1396
644,1396
645,1396
646,1396
647,1396
648,1396
649,1396
650,1396
651,1396
652,1396
653,1396
654,1396
655,1396
656,1396
657,1396
658,1396
659,1396
660,1396
661,1396
662,1396
663,1396
664,1396
665,1396
666,1396
667,1396
668,1396
669,1445
670,1445
671,1445
672,1445
673,1445
674,1445
675,1445
676,1445
677,1445
678,1445
679,1445
680,1445
681,1445
682,1445
683,1445
684,1445
685,1445
686,1445
687,1445
688,1445
689,1445
690,1445
691,1445
692,1445
693,1445
694,1445
695,1445
696,1445
697,1445
698,1445
699,1445
700,1445
701,1445
702,1445
703,1445
704,1445
705,1445
706,1445
707,1445
708,1445
709,1445
710,1445
711,1445
712,1445
713,1445
714,1445
715,1445
716,1445
717,1445
718,1445
719,1445
720,1445
721,1445
722,1445
723,1445
724,1445
725,1445
726,1445
727,1445
728,1445
729,1445
730,1445
731,1445
732,1445
733,1445
734,1445
735,1445
736,1445
737,1445
738,1445
739,1445
740,1445
741,1445
