frame,pupil
1,678
2,678
3,678
4,678
5,678
6,678
7,678
8,678
9,678
10,678
11,678
12,678
13,678
14,678
15,678
16,678
17,678
18,678
19,678
20,678
21,678
22,678
23,678
24,678
25,678
26,678
27,678
28,678
29,678
30,678
31,678
32,678
33,678
34,678
35,678
36,678
37,678
38,678
39,678
40,678
41,678
42,678
43,678
44,678
45,678
46,678
47,678
48,678
49,678
50,678
51,678
52,678
53,678
54,678
55,678
56,678
57,678
58,678
59,678
60,678
61,678
62,678
63,678
64,678
65,678
66,678
67,678
68,678
69,678
70,678
71,678
72,678
73,678
74,678
75,678
76,678
77,678
78,678
79,678
80,678
81,678
82,678
83,678
84,678
85,678
86,678
87,678
88,678
89,678
90,678
91,678
92,678
93,678
94,678
95,678
96,678
97,678
98,678
99,678
100,678
101,678
102,678
103,678
104,678
105,678
106,678
107,678
108,678
109,678
110,678
111,678
112,678
113,678
114,678
115,678
116,678
117,678
118,678
119,678
120,678
121,678
122,678
123,678
124,678
125,678
126,678
127,678
128,678
129,678
130,678
131,678
132,678
133,678
134,678
135,678
136,678
137,678
138,678
139,678
140,678
141,678
142,678
143,678
144,678
145,678
146,678
147,678
148,678
149,678
150,678
151,678
152,678
153,678
154,678
155,678
156,678
157,678
158,678
159,678
160,678
161,678
162,678
163,678
164,678
165,678
166,678
167,678
168,678
169,678
170,678
171,678
172,678
173,678
174,678
175,678
176,678
177,678
178,678
179,678
180,678
181,678
182,678
183,678
184,678
185,678
186,678
187,678
188,678
189,678
190,678
191,678
192,678
193,678
194,678
195,678
196,678
197,678
198,678
199,678
200,678
201,678
202,678
203,678
204,678
205,678
206,678
207,678
208,678
209,678
210,678
211,678
212,678
213,678
214,678
215,678
216,711
217,711
218,711
219,711
220,711
221,711
222,711
223,711
224,711
225,711
226,711
227,711
228,711
229,711
230,711
231,711
232,711
233,711
234,711
235,711
236,711
237,711
238,711
239,711
240,711
241,711
242,711
243,711
244,711
245,711
246,711
247,711
248,711
249,711
250,711
251,711
252,711
253,711
254,711
255,711
256,711
257,711
258,711
259,711
260,711
261,711
262,711
263,711
264,711
265,711
266,711
267,711
268,711
269,711
270,711
271,711
272,711
273,711
274,711
275,711
276,711
277,711
278,711
279,711
280,711
281,711
282,711
283,711
284,711
285,711
286,711
287,711
288,711
289,711
290,711
291,711
292,711
293,711
294,711
295,711
296,711
297,711
298,711
299,711
300,711
301,711
302,711
303,711
304,711
305,711
306,711
307,711
308,711
309,711
310,711
311,711
312,711
313,711
314,711
315,711
316,711
317,711
318,711
319,711
320,711
321,711
322,711
323,711
324,711
325,711
326,711
327,711
328,711
329,711
330,711
331,711
332,711
333,711
334,711
335,711
336,711
337,711
338,711
339,711
340,711
341,711
342,711
343,711
344,711
345,711
346,711
347,711
348,711
349,711
350,711
351,711
352,711
353,711
354,711
355,711
356,711
357,711
358,711
359,711
360,711
361,711
362,711
363,711
364,711
365,711
366,711
367,711
368,711
369,711
370,711
371,711
372,711
373,670
374,670
375,670
376,670
377,670
378,670
379,670
380,670
381,670
382,670
383,670
384,670
385,670
386,670
387,670
388,670
389,670
390,670
391,670
392,670
393,670
394,670
395,670
396,670
397,670
398,670
399,670
400,670
