frame,pupil
1,569
2,569
3,569
4,569
5,569
6,569
7,569
8,569
9,569
10,569
11,569
12,569
13,569
14,569
15,569
16,569
17,569
18,569
19,569
20,569
21,569
22,569
23,569
24,569
25,569
26,569
27,569
28,569
29,569
30,569
31,569
32,569
33,569
34,569
35,569
36,569
37,569
38,569
39,569
40,569
41,569
42,569
43,569
44,569
45,569
46,569
47,569
48,569
49,569
50,569
51,569
52,569
53,569
54,569
55,569
56,569
57,569
58,569
59,569
60,569
61,569
62,569
63,569
64,569
65,569
66,569
67,569
68,569
69,569
70,569
71,569
72,569
73,569
74,569
75,569
76,569
77,569
78,569
79,569
80,569
81,569
82,569
83,569
84,569
85,569
86,569
87,569
88,569
89,569
90,569
91,569
92,569
93,569
94,569
95,569
96,569
97,569
98,569
99,569
100,569
101,569
102,569
103,569
104,569
105,569
106,569
107,569
108,569
109,569
110,569
111,569
112,569
113,569
114,569
115,569
116,569
117,569
118,569
119,569
120,569
121,569
122,569
123,569
124,569
125,569
126,569
127,569
128,569
129,569
130,569
131,569
132,569
133,569
134,569
135,569
136,569
137,569
138,569
139,569
140,569
141,569
142,569
143,569
144,569
145,569
146,569
147,569
148,569
149,569
150,569
151,569
152,569
153,569
154,569
155,569
156,569
157,569
158,569
159,569
160,569
161,569
162,569
163,569
164,569
165,569
166,569
167,569
168,569
169,569
170,569
171,569
172,569
173,569
174,569
175,569
176,569
177,569
178,569
179,569
180,569
181,569
182,569
183,569
184,569
185,569
186,569
187,569
188,569
189,569
190,569
191,569
192,569
193,569
194,569
195,569
196,569
197,569
198,569
199,569
200,569
201,569
202,569
203,569
204,569
205,569
206,569
207,569
208,569
209,569
210,569
211,569
212,569
213,569
214,569
215,569
216,569
217,569
218,569
219,569
220,569
221,569
222,569
223,569
224,569
225,569
226,569
227,569
228,569
229,569
230,569
231,569
232,569
233,569
234,569
235,569
236,569
237,569
238,569
239,569
240,569
241,569
242,569
243,569
244,569
245,569
246,569
247,569
248,569
249,569
250,569
251,569
252,569
253,569
254,569
255,569
256,569
257,569
258,569
259,569
260,569
261,569
262,569
263,569
264,569
265,569
266,569
267,569
268,569
269,569
270,569
271,569
272,569
273,569
274,569
275,569
276,569
277,569
278,569
279,569
280,569
281,569
282,569
283,569
284,569
285,569
286,569
287,569
288,569
289,569
290,569
291,569
292,569
293,569
294,569
295,569
296,569
297,569
298,569
299,569
300,569
301,569
302,569
303,569
304,569
305,569
306,569
307,569
308,569
309,569
310,569
311,569
312,569
