RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_ADJUSTED	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_BUTTON_0_PRESS	CURRENT_FIX_BUTTON_1_PRESS	CURRENT_FIX_BUTTON_2_PRESS	CURRENT_FIX_BUTTON_3_PRESS	CURRENT_FIX_BUTTON_4_PRESS	CURRENT_FIX_BUTTON_5_PRESS	CURRENT_FIX_BUTTON_6_PRESS	CURRENT_FIX_BUTTON_7_PRESS	CURRENT_FIX_BUTTON_8_PRESS	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_END_OTHER	CURRENT_FIX_INDEX	CURRENT_FIX_INPUT_EVENTS	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_INTEREST_AREA_DATA	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_FIX_COUNT	CURRENT_FIX_INTEREST_AREA_GROUP	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_INTEREST_AREA_PIXEL_AREA	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_INTEREST_AREA_X_OFFSET	CURRENT_FIX_INTEREST_AREA_Y_OFFSET	CURRENT_FIX_IS_RT_END	CURRENT_FIX_LABEL	CURRENT_FIX_MSG_COUNT	CURRENT_FIX_MSG_TEXT_1	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_PUPIL	CURRENT_FIX_REFIX_INTEREST_AREA	CURRENT_FIX_REFIX_PREV_INTEREST_AREA	CURRENT_FIX_RUN_DWELL_TIME	CURRENT_FIX_RUN_INDEX	CURRENT_FIX_RUN_SIZE	CURRENT_FIX_START	CURRENT_FIX_START_OTHER	CURRENT_FIX_TRIAL_SPAN	CURRENT_FIX_X	CURRENT_FIX_X_OTHER	CURRENT_FIX_X_RESOLUTION	CURRENT_FIX_Y	CURRENT_FIX_Y_OTHER	CURRENT_FIX_Y_RESOLUTION	DATA_FILE	EYE_USED	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	LAST_BUTTON_PRESSED	LAST_BUTTON_PRESSED_TIME	LAST_BUTTON_RELEASED	LAST_BUTTON_RELEASED_TIME	LAST_BUTTON_TIME	NEXT_FIX_ANGLE	NEXT_FIX_BLINK_AROUND	NEXT_FIX_DIRECTION	NEXT_FIX_DISTANCE	NEXT_FIX_DURATION	NEXT_FIX_END	NEXT_FIX_END_OTHER	NEXT_FIX_INPUT_EVENTS	NEXT_FIX_INTEREST_AREAS	NEXT_FIX_INTEREST_AREA_DATA	NEXT_FIX_INTEREST_AREA_DWELL_TIME	NEXT_FIX_INTEREST_AREA_FIX_COUNT	NEXT_FIX_INTEREST_AREA_GROUP	NEXT_FIX_INTEREST_AREA_ID	NEXT_FIX_INTEREST_AREA_INDEX	NEXT_FIX_INTEREST_AREA_LABEL	NEXT_FIX_INTEREST_AREA_PIXEL_AREA	NEXT_FIX_INTEREST_AREA_RUN_ID	NEXT_FIX_IS_RT_END	NEXT_FIX_LABEL	NEXT_FIX_MSG_COUNT	NEXT_FIX_MSG_TEXT_1	NEXT_FIX_MSG_TIME_1	NEXT_FIX_NEAREST_INTEREST_AREA	NEXT_FIX_NEAREST_INTEREST_AREA_DISTANCE	NEXT_FIX_NEAREST_INTEREST_AREA_LABEL	NEXT_FIX_PUPIL	NEXT_FIX_RUN_DWELL_TIME	NEXT_FIX_RUN_INDEX	NEXT_FIX_RUN_SIZE	NEXT_FIX_START	NEXT_FIX_START_OTHER	NEXT_FIX_TRIAL_SPAN	NEXT_FIX_X	NEXT_FIX_X_OTHER	NEXT_FIX_X_RESOLUTION	NEXT_FIX_Y	NEXT_FIX_Y_OTHER	NEXT_FIX_Y_RESOLUTION	NEXT_SAC_AMPLITUDE	NEXT_SAC_ANGLE	NEXT_SAC_AVG_VELOCITY	NEXT_SAC_BLINK_DURATION	NEXT_SAC_BLINK_END	NEXT_SAC_BLINK_START	NEXT_SAC_CONTAINS_BLINK	NEXT_SAC_DIRECTION	NEXT_SAC_DURATION	NEXT_SAC_END_INTEREST_AREAS	NEXT_SAC_END_INTEREST_AREA_ID	NEXT_SAC_END_INTEREST_AREA_INDEX	NEXT_SAC_END_INTEREST_AREA_LABEL	NEXT_SAC_END_TIME	NEXT_SAC_END_X	NEXT_SAC_END_X_RESOLUTION	NEXT_SAC_END_Y	NEXT_SAC_END_Y_RESOLUTION	NEXT_SAC_INDEX	NEXT_SAC_INPUT_EVENTS	NEXT_SAC_IS_RT_END	NEXT_SAC_LABEL	NEXT_SAC_MSG_COUNT	NEXT_SAC_MSG_TEXT_1	NEXT_SAC_MSG_TIME_1	NEXT_SAC_NEAREST_END_INTEREST_AREA	NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL	NEXT_SAC_NEAREST_START_INTEREST_AREA	NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL	NEXT_SAC_PEAK_VELOCITY	NEXT_SAC_START_INTEREST_AREAS	NEXT_SAC_START_INTEREST_AREA_ID	NEXT_SAC_START_INTEREST_AREA_INDEX	NEXT_SAC_START_INTEREST_AREA_LABEL	NEXT_SAC_START_TIME	NEXT_SAC_START_X	NEXT_SAC_START_X_RESOLUTION	NEXT_SAC_START_Y	NEXT_SAC_START_Y_RESOLUTION	PREVIOUS_FIX_ANGLE	PREVIOUS_FIX_BLINK_AROUND	PREVIOUS_FIX_DIRECTION	PREVIOUS_FIX_DISTANCE	PREVIOUS_FIX_DURATION	PREVIOUS_FIX_END	PREVIOUS_FIX_END_OTHER	PREVIOUS_FIX_INPUT_EVENTS	PREVIOUS_FIX_INTEREST_AREAS	PREVIOUS_FIX_INTEREST_AREA_DATA	PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME	PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT	PREVIOUS_FIX_INTEREST_AREA_GROUP	PREVIOUS_FIX_INTEREST_AREA_ID	PREVIOUS_FIX_INTEREST_AREA_INDEX	PREVIOUS_FIX_INTEREST_AREA_LABEL	PREVIOUS_FIX_INTEREST_AREA_PIXEL_AREA	PREVIOUS_FIX_INTEREST_AREA_RUN_ID	PREVIOUS_FIX_IS_RT_END	PREVIOUS_FIX_LABEL	PREVIOUS_FIX_MSG_COUNT	PREVIOUS_FIX_MSG_TEXT_1	PREVIOUS_FIX_MSG_TIME_1	PREVIOUS_FIX_NEAREST_INTEREST_AREA	PREVIOUS_FIX_NEAREST_INTEREST_AREA_DISTANCE	PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL	PREVIOUS_FIX_PUPIL	PREVIOUS_FIX_RUN_DWELL_TIME	PREVIOUS_FIX_RUN_INDEX	PREVIOUS_FIX_RUN_SIZE	PREVIOUS_FIX_START	PREVIOUS_FIX_START_OTHER	PREVIOUS_FIX_TRIAL_SPAN	PREVIOUS_FIX_X	PREVIOUS_FIX_X_OTHER	PREVIOUS_FIX_X_RESOLUTION	PREVIOUS_FIX_Y	PREVIOUS_FIX_Y_OTHER	PREVIOUS_FIX_Y_RESOLUTION	PREVIOUS_SAC_AMPLITUDE	PREVIOUS_SAC_ANGLE	PREVIOUS_SAC_AVG_VELOCITY	PREVIOUS_SAC_BLINK_DURATION	PREVIOUS_SAC_BLINK_END	PREVIOUS_SAC_BLINK_START	PREVIOUS_SAC_CONTAINS_BLINK	PREVIOUS_SAC_DIRECTION	PREVIOUS_SAC_DURATION	PREVIOUS_SAC_END_INTEREST_AREAS	PREVIOUS_SAC_END_INTEREST_AREA_ID	PREVIOUS_SAC_END_INTEREST_AREA_INDEX	PREVIOUS_SAC_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_END_TIME	PREVIOUS_SAC_END_X	PREVIOUS_SAC_END_X_RESOLUTION	PREVIOUS_SAC_END_Y	PREVIOUS_SAC_END_Y_RESOLUTION	PREVIOUS_SAC_INDEX	PREVIOUS_SAC_INPUT_EVENTS	PREVIOUS_SAC_IS_RT_END	PREVIOUS_SAC_LABEL	PREVIOUS_SAC_MSG_COUNT	PREVIOUS_SAC_MSG_TEXT_1	PREVIOUS_SAC_MSG_TIME_1	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_PEAK_VELOCITY	PREVIOUS_SAC_START_INTEREST_AREAS	PREVIOUS_SAC_START_INTEREST_AREA_ID	PREVIOUS_SAC_START_INTEREST_AREA_INDEX	PREVIOUS_SAC_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_START_TIME	PREVIOUS_SAC_START_X	PREVIOUS_SAC_START_X_RESOLUTION	PREVIOUS_SAC_START_Y	PREVIOUS_SAC_START_Y_RESOLUTION	TRIAL_FIXATION_TOTAL	TRIAL_LABEL	TRIAL_START_TIME	VIDEO_FRAME_INDEX_END	VIDEO_FRAME_INDEX_START	VIDEO_NAME_END	VIDEO_NAME_START	__index__1	__index__1	center	imgfile	videofile	wavfilename
LVar156	2	false	AFTER	.	.	.	.	.	.	.	.	.	72	80	.	1	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 10 ms	0	.	.	3	2.47	right	821.00	.	.	.	.	.	10	.	SPAN_NONE	1060.20	.	43.75	550.00	.	34.15	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	180.00	BOTH	LEFT	9.23	1664	2666	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 1004 ms	1	Audio started	1580	1	2.73	center	653.00	.	.	.	1004	.	SPAN_NONE	655.40	.	44.00	550.00	.	34.15	9.39	180.00	8.50	898	988	92	true	LEFT	922	[ ]	.	.	.	1002	637.60	43.80	550.00	33.90	1	[]	false	Saccade: 82 ms	0	.	.	1	center	3	right	8.83	[ ]	.	.	.	82	1041.90	43.50	550.00	33.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BOTH	.	.	.	.	.	.	.	.	.	1664	2666	.	2	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 1004 ms	1	Audio started	1580	1	2.73	center	653.00	.	.	.	.	.	1004	.	SPAN_NONE	655.40	.	44.00	550.00	.	34.15	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	0.00	BOTH	RIGHT	1.32	28	5762	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5736 ms	0	.	.	1	2.44	center	531.00	.	.	.	5736	.	SPAN_NONE	724.90	.	61.45	550.00	.	48.00	1.19	0.00	83.27	3008	5718	2712	true	RIGHT	3068	[ ]	.	.	.	5734	713.20	61.50	550.00	48.00	2	[]	false	Saccade: 2668 ms	0	.	.	1	center	1	center	111.47	[ ]	.	.	.	2668	650.50	44.20	550.00	34.20	0.00	AFTER	RIGHT	9.23	72	80	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 10 ms	0	.	.	3	2.47	right	821.00	.	.	.	10	.	SPAN_NONE	1060.20	.	43.75	550.00	.	34.15	9.39	180.00	8.50	898	988	92	true	LEFT	922	[ ]	.	.	.	1002	637.60	43.80	550.00	33.90	1	[]	false	Saccade: 82 ms	0	.	.	1	center	3	right	8.83	[ ]	.	.	.	82	1041.90	43.50	550.00	33.90	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BOTH	.	.	.	.	.	.	.	.	.	28	5762	.	3	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 5736 ms	0	.	.	1	2.44	center	531.00	.	.	.	.	.	5736	.	SPAN_NONE	724.90	.	61.45	550.00	.	48.00	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	0.00	BEFORE	RIGHT	4.94	158	6026	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5870 ms	0	.	.	3	2.67	right	672.00	.	.	.	5870	.	SPAN_NONE	1022.40	.	58.90	550.00	.	46.25	0.01	180.00	105.55	76	5848	5774	true	.	106	[ ]	.	.	.	5868	1017.80	58.90	550.00	46.20	3	[]	false	Saccade: 5764 ms	0	.	.	3	right	3	right	252.75	[ ]	.	.	.	5764	1018.40	61.40	550.00	48.00	180.00	BOTH	LEFT	1.32	1664	2666	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 1004 ms	1	Audio started	1580	1	2.73	center	653.00	.	.	.	1004	.	SPAN_NONE	655.40	.	44.00	550.00	.	34.15	1.19	0.00	83.27	3008	5718	2712	true	RIGHT	3068	[ ]	.	.	.	5734	713.20	61.50	550.00	48.00	2	[]	false	Saccade: 2668 ms	0	.	.	1	center	1	center	111.47	[ ]	.	.	.	2668	650.50	44.20	550.00	34.20	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BEFORE	.	.	.	.	.	.	.	.	.	158	6026	.	4	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 5870 ms	0	.	.	3	2.67	right	672.00	.	.	.	.	.	5870	.	SPAN_NONE	1022.40	.	58.90	550.00	.	46.25	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	0.00	NONE	RIGHT	1.94	492	6544	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6054 ms	0	.	.	3	2.66	right	760.00	.	.	.	6054	.	SPAN_NONE	1136.20	.	58.55	550.00	.	45.90	1.42	0.00	54.38	.	.	.	false	RIGHT	26	[ ]	.	.	.	6052	1119.80	59.00	550.00	46.30	4	[]	false	Saccade: 6028 ms	0	.	.	3	right	3	right	69.72	[ ]	.	.	.	6028	1035.80	59.00	550.00	46.30	180.00	BOTH	LEFT	4.94	28	5762	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5736 ms	0	.	.	1	2.44	center	531.00	.	.	.	5736	.	SPAN_NONE	724.90	.	61.45	550.00	.	48.00	0.01	180.00	105.55	76	5848	5774	true	.	106	[ ]	.	.	.	5868	1017.80	58.90	550.00	46.20	3	[]	false	Saccade: 5764 ms	0	.	.	3	right	3	right	252.75	[ ]	.	.	.	5764	1018.40	61.40	550.00	48.00	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	NONE	.	.	.	.	.	.	.	.	.	492	6544	.	5	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 6054 ms	0	.	.	3	2.66	right	760.00	.	.	.	.	.	6054	.	SPAN_NONE	1136.20	.	58.55	550.00	.	45.90	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	180.00	AFTER	.	0.09	518	7086	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6570 ms	0	.	.	3	2.62	right	1034.00	.	.	.	6570	.	SPAN_NONE	1131.10	.	58.90	550.00	.	46.25	1.34	0.00	55.27	.	.	.	false	RIGHT	24	[ ]	.	.	.	6568	1193.90	57.80	550.00	45.20	5	[]	false	Saccade: 6546 ms	0	.	.	3	right	3	right	69.18	[ ]	.	.	.	6546	1116.60	58.10	550.00	45.50	180.00	BEFORE	LEFT	1.94	158	6026	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5870 ms	0	.	.	3	2.67	right	672.00	.	.	.	5870	.	SPAN_NONE	1022.40	.	58.90	550.00	.	46.25	1.42	0.00	54.38	.	.	.	false	RIGHT	26	[ ]	.	.	.	6052	1119.80	59.00	550.00	46.30	4	[]	false	Saccade: 6028 ms	0	.	.	3	right	3	right	69.72	[ ]	.	.	.	6028	1035.80	59.00	550.00	46.30	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	AFTER	.	.	.	.	.	.	.	.	.	518	7086	.	6	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 6570 ms	0	.	.	3	2.62	right	1034.00	.	.	.	.	.	6570	.	SPAN_NONE	1131.10	.	58.90	550.00	.	46.25	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	180.00	BEFORE	LEFT	2.52	836	8500	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 7666 ms	0	.	.	3	2.99	right	1113.00	.	.	.	7666	.	SPAN_NONE	989.00	.	54.00	550.00	.	42.40	2.70	180.00	93.07	510	7632	7124	true	LEFT	578	[ ]	.	.	.	7664	1068.00	60.60	550.00	47.60	6	[]	false	Saccade: 7088 ms	0	.	.	3	right	3	right	172.87	[ ]	.	.	.	7088	1230.90	60.10	550.00	47.30	0.00	NONE	.	0.09	492	6544	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6054 ms	0	.	.	3	2.66	right	760.00	.	.	.	6054	.	SPAN_NONE	1136.20	.	58.55	550.00	.	45.90	1.34	0.00	55.27	.	.	.	false	RIGHT	24	[ ]	.	.	.	6568	1193.90	57.80	550.00	45.20	5	[]	false	Saccade: 6546 ms	0	.	.	3	right	3	right	69.18	[ ]	.	.	.	6546	1116.60	58.10	550.00	45.50	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BEFORE	.	.	.	.	.	.	.	.	.	836	8500	.	7	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 7666 ms	0	.	.	3	2.99	right	1113.00	.	.	.	.	.	7666	.	SPAN_NONE	989.00	.	54.00	550.00	.	42.40	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	0.00	AFTER	RIGHT	1.52	662	9182	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8522 ms	0	.	.	3	2.45	right	1397.00	.	.	.	8522	.	SPAN_NONE	1068.00	.	49.95	550.00	.	39.20	0.87	0.00	43.21	.	.	.	false	RIGHT	20	[ ]	.	.	.	8520	1053.20	48.00	550.00	37.60	7	[]	false	Saccade: 8502 ms	0	.	.	3	right	3	right	53.30	[ ]	.	.	.	8502	1011.60	47.60	550.00	37.40	0.00	AFTER	RIGHT	2.52	518	7086	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6570 ms	0	.	.	3	2.62	right	1034.00	.	.	.	6570	.	SPAN_NONE	1131.10	.	58.90	550.00	.	46.25	2.70	180.00	93.07	510	7632	7124	true	LEFT	578	[ ]	.	.	.	7664	1068.00	60.60	550.00	47.60	6	[]	false	Saccade: 7088 ms	0	.	.	3	right	3	right	172.87	[ ]	.	.	.	7088	1230.90	60.10	550.00	47.30	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	AFTER	.	.	.	.	.	.	.	.	.	662	9182	.	8	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 8522 ms	0	.	.	3	2.45	right	1397.00	.	.	.	.	.	8522	.	SPAN_NONE	1068.00	.	49.95	550.00	.	39.20	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	0.00	BOTH	RIGHT	11.19	64	9638	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 9576 ms	0	.	.	3	11.42	right	154.00	.	.	.	9576	.	SPAN_NONE	1667.70	.	57.25	550.00	.	44.00	3.46	0.00	82.38	266	9458	9194	true	RIGHT	392	[ ]	.	.	.	9574	1641.60	56.70	550.00	43.60	8	[]	false	Saccade: 9184 ms	0	.	.	3	right	3	right	306.30	[ ]	.	.	.	9184	1448.60	51.90	550.00	40.70	180.00	BEFORE	LEFT	1.52	836	8500	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 7666 ms	0	.	.	3	2.99	right	1113.00	.	.	.	7666	.	SPAN_NONE	989.00	.	54.00	550.00	.	42.40	0.87	0.00	43.21	.	.	.	false	RIGHT	20	[ ]	.	.	.	8520	1053.20	48.00	550.00	37.60	7	[]	false	Saccade: 8502 ms	0	.	.	3	right	3	right	53.30	[ ]	.	.	.	8502	1011.60	47.60	550.00	37.40	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BOTH	.	.	.	.	.	.	.	.	.	64	9638	.	9	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 9576 ms	0	.	.	3	11.42	right	154.00	.	.	.	.	.	9576	.	SPAN_NONE	1667.70	.	57.25	550.00	.	44.00	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	180.00	BEFORE	LEFT	11.16	170	11936	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 11768 ms	0	.	.	3	2.59	right	725.00	.	.	.	11768	.	SPAN_NONE	1033.30	.	56.40	550.00	.	44.15	11.60	180.00	142.63	2064	11722	9660	true	LEFT	2128	[ ]	.	.	.	11766	1025.80	55.40	550.00	43.30	9	[]	false	Saccade: 9640 ms	0	.	.	3	right	3	right	307.49	[ ]	.	.	.	9640	1682.40	57.70	550.00	44.30	180.00	AFTER	LEFT	11.19	662	9182	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8522 ms	0	.	.	3	2.45	right	1397.00	.	.	.	8522	.	SPAN_NONE	1068.00	.	49.95	550.00	.	39.20	3.46	0.00	82.38	266	9458	9194	true	RIGHT	392	[ ]	.	.	.	9574	1641.60	56.70	550.00	43.60	8	[]	false	Saccade: 9184 ms	0	.	.	3	right	3	right	306.30	[ ]	.	.	.	9184	1448.60	51.90	550.00	40.70	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar156	2	false	BEFORE	.	.	.	.	.	.	.	.	.	170	11936	.	10	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 11768 ms	0	.	.	3	2.59	right	725.00	.	.	.	.	.	11768	.	SPAN_NONE	1033.30	.	56.40	550.00	.	44.15	LVar156.edf	LEFT	true	353495815	.	Full Trial Period	true	353478526	.	.	.	.	.	180.00	NONE	LEFT	3.57	966	12934	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 11970 ms	0	.	.	1	3.16	center	782.00	.	.	.	11970	.	SPAN_NONE	826.10	.	59.60	550.00	.	46.70	3.13	180.00	95.25	.	.	.	false	LEFT	32	[ ]	.	.	.	11968	839.20	57.60	550.00	45.10	10	[]	false	Saccade: 11938 ms	0	.	.	1	center	3	right	127.52	[ ]	.	.	.	11938	1018.90	57.30	550.00	44.90	0.00	BOTH	RIGHT	11.16	64	9638	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 9576 ms	0	.	.	3	11.42	right	154.00	.	.	.	9576	.	SPAN_NONE	1667.70	.	57.25	550.00	.	44.00	11.60	180.00	142.63	2064	11722	9660	true	LEFT	2128	[ ]	.	.	.	11766	1025.80	55.40	550.00	43.30	9	[]	false	Saccade: 9640 ms	0	.	.	3	right	3	right	307.49	[ ]	.	.	.	9640	1682.40	57.70	550.00	44.30	18	Trial: 2	353478526	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
