participant,condition,word,exposure,synchrony
LexVar103,naturalv,bog,1,28837.801266495353
LexVar103,naturalv,bog,1,26631.74290528696
LexVar104,naturalv,bog,1,22352.9151341635
LexVar104,naturalv,bog,1,29437.900967932957
LexVar110,naturalv,bog,1,29262.037215129203
LexVar110,naturalv,bog,1,18476.47346721323
LexVar116,naturalv,bog,1,29733.170983124604
LexVar116,naturalv,bog,1,25535.74688456677
LexVar121,naturalv,bog,1,28017.53291509965
LexVar121,naturalv,bog,1,26803.45444721656
LexVar127,naturalv,bog,1,13106.930163452265
LexVar127,naturalv,bog,1,18488.203215312118
LexVar133,naturalv,bog,1,28783.59419387964
LexVar133,naturalv,bog,1,28099.25273287083
LexVar139,naturalv,bog,1,29612.36744119716
LexVar139,naturalv,bog,1,24230.790188373463
LexVar140,naturalv,bog,1,29963.045507136412
LexVar140,naturalv,bog,1,25356.170448225774
LexVar146,naturalv,bog,1,26024.514933775314
LexVar146,naturalv,bog,1,29220.96305604365
LexVar151,naturalv,bog,1,30794.97025432766
LexVar151,naturalv,bog,1,23351.16052292952
LexVar157,naturalv,bog,1,28980.840186783647
LexVar157,naturalv,bog,1,29370.049825047678
LexVar163,naturalv,bog,1,30407.023652668486
LexVar163,naturalv,bog,1,25522.899443662573
LexVar169,naturalv,bog,1,25350.824953886866
LexVar169,naturalv,bog,1,28846.266982497153
LexVar170,naturalv,bog,1,26105.752461782886
LexVar170,naturalv,bog,1,30090.52317331017
LexVar175,naturalv,bog,1,25337.857737078786
LexVar175,naturalv,bog,1,30540.85352942717
LexVar176,naturalv,bog,1,30090.084783727896
LexVar176,naturalv,bog,1,30207.964723801015
LexVar181,naturalv,bog,1,27966.85826913559
LexVar181,naturalv,bog,1,29779.162888488376
LexVar182,naturalv,bog,1,30059.843184849804
LexVar188,naturalv,bog,1,29448.93429087765
LexVar188,naturalv,bog,1,29950.737172494115
LexVar103,naturalv,bog,2,30605.788267231143
LexVar103,naturalv,bog,2,29467.72407676785
LexVar104,naturalv,bog,2,27508.709651956815
LexVar104,naturalv,bog,2,29366.917291584225
LexVar110,naturalv,bog,2,26431.88549658945
LexVar110,naturalv,bog,2,29456.334950620472
LexVar116,naturalv,bog,2,30475.46621925682
LexVar121,naturalv,bog,2,32018.521622822387
LexVar121,naturalv,bog,2,25572.298136966358
LexVar127,naturalv,bog,2,18461.36090203216
LexVar127,naturalv,bog,2,30989.91670103228
LexVar133,naturalv,bog,2,31598.997402005534
LexVar133,naturalv,bog,2,26959.58294266428
LexVar139,naturalv,bog,2,31044.6463146387
LexVar139,naturalv,bog,2,31143.358060845785
LexVar140,naturalv,bog,2,28515.247949058637
LexVar140,naturalv,bog,2,27273.333142122916
LexVar146,naturalv,bog,2,31806.861609570216
LexVar146,naturalv,bog,2,29626.560192843433
LexVar151,naturalv,bog,2,29683.725881779315
LexVar151,naturalv,bog,2,22914.70582687275
LexVar157,naturalv,bog,2,29802.25577593345
LexVar157,naturalv,bog,2,28717.676680908367
LexVar163,naturalv,bog,2,31240.336121389748
LexVar163,naturalv,bog,2,31266.906435031477
LexVar169,naturalv,bog,2,31823.752667447916
LexVar169,naturalv,bog,2,30314.250922441144
LexVar170,naturalv,bog,2,28931.358663726496
LexVar170,naturalv,bog,2,28967.820054019394
LexVar175,naturalv,bog,2,23244.449075359902
LexVar175,naturalv,bog,2,27756.598640229757
LexVar176,naturalv,bog,2,30819.46035359531
LexVar176,naturalv,bog,2,27304.66489249525
LexVar181,naturalv,bog,2,30409.84107529075
LexVar181,naturalv,bog,2,32837.93138111426
LexVar182,naturalv,bog,2,27004.34695559201
LexVar188,naturalv,bog,2,28934.308493154364
LexVar188,naturalv,bog,2,26437.146458128766
LexVar103,naturalv,bog,3,59116.22524058883
LexVar103,naturalv,bog,3,58217.166703269126
LexVar104,naturalv,bog,3,56956.44074337896
LexVar104,naturalv,bog,3,59926.19922849483
LexVar110,naturalv,bog,3,54750.25778065321
LexVar110,naturalv,bog,3,48445.58535311454
LexVar116,naturalv,bog,3,58805.61802692555
LexVar121,naturalv,bog,3,58164.978469117224
LexVar121,naturalv,bog,3,54774.75516954246
LexVar127,naturalv,bog,3,17055.370778232922
LexVar133,naturalv,bog,3,55551.44653412941
LexVar133,naturalv,bog,3,49739.02030899623
LexVar139,naturalv,bog,3,56624.11145518731
LexVar139,naturalv,bog,3,59001.48287589824
LexVar140,naturalv,bog,3,59110.8199103931
LexVar140,naturalv,bog,3,52743.09334997088
LexVar146,naturalv,bog,3,55260.81436167721
LexVar146,naturalv,bog,3,53215.047081951336
LexVar151,naturalv,bog,3,58961.93032829795
LexVar151,naturalv,bog,3,60059.52206433285
LexVar157,naturalv,bog,3,59621.24250685539
LexVar157,naturalv,bog,3,58172.73816109628
LexVar163,naturalv,bog,3,59124.813878378394
LexVar163,naturalv,bog,3,58607.328061417786
LexVar169,naturalv,bog,3,59969.630265331114
LexVar169,naturalv,bog,3,59664.0330905263
LexVar170,naturalv,bog,3,58363.54280399281
LexVar170,naturalv,bog,3,52575.897041195785
LexVar175,naturalv,bog,3,47964.45643740597
LexVar176,naturalv,bog,3,59137.13923322497
LexVar176,naturalv,bog,3,59108.15078300092
LexVar181,naturalv,bog,3,58542.5391954872
LexVar181,naturalv,bog,3,59657.64742347838
LexVar182,naturalv,bog,3,51774.38831874616
LexVar103,naturalv,bog,4,27412.54227476113
LexVar103,naturalv,bog,4,23085.583955575472
LexVar104,naturalv,bog,4,26574.098997880734
LexVar110,naturalv,bog,4,14712.824846179758
LexVar133,naturalv,bog,4,25699.948194984176
LexVar133,naturalv,bog,4,27118.207232079298
