participant,condition,word,exposure,synchrony
LexVar103,naturalv,bog,1,28837.801266495353
LexVar103,naturalv,bog,1,26631.74290528696
LexVar104,naturalv,bog,1,22352.9151341635
LexVar104,naturalv,bog,1,29437.900967932957
LexVar110,naturalv,bog,1,29262.037215129203
LexVar110,naturalv,bog,1,18476.47346721323
LexVar116,naturalv,bog,1,29733.170983124604
LexVar116,naturalv,bog,1,25535.74688456677
LexVar121,naturalv,bog,1,28017.53291509965
LexVar121,naturalv,bog,1,26803.45444721656
LexVar127,naturalv,bog,1,13106.930163452265
LexVar127,naturalv,bog,1,18488.203215312118
LexVar133,naturalv,bog,1,28783.59419387964
LexVar133,naturalv,bog,1,28099.25273287083
LexVar139,naturalv,bog,1,29612.36744119716
LexVar139,naturalv,bog,1,24230.790188373463
LexVar140,naturalv,bog,1,29963.045507136412
LexVar140,naturalv,bog,1,25356.170448225774
LexVar146,naturalv,bog,1,26024.514933775314
LexVar146,naturalv,bog,1,29220.96305604365
LexVar151,naturalv,bog,1,30794.97025432766
LexVar151,naturalv,bog,1,23351.16052292952
LexVar157,naturalv,bog,1,28980.840186783647
LexVar157,naturalv,bog,1,29370.049825047678
LexVar163,naturalv,bog,1,30407.023652668486
LexVar163,naturalv,bog,1,25522.899443662573
LexVar169,naturalv,bog,1,25350.824953886866
LexVar169,naturalv,bog,1,28846.266982497153
LexVar170,naturalv,bog,1,26105.752461782886
LexVar170,naturalv,bog,1,30090.52317331017
LexVar175,naturalv,bog,1,25337.857737078786
LexVar175,naturalv,bog,1,30540.85352942717
LexVar176,naturalv,bog,1,30090.084783727896
LexVar176,naturalv,bog,1,30207.964723801015
LexVar181,naturalv,bog,1,27966.85826913559
LexVar181,naturalv,bog,1,29779.162888488376
LexVar182,naturalv,bog,1,30059.843184849804
LexVar188,naturalv,bog,1,29448.93429087765
LexVar188,naturalv,bog,1,29950.737172494115
LexVar103,naturalv,bog,4,27412.54227476113
LexVar103,naturalv,bog,4,23085.583955575472
LexVar104,naturalv,bog,4,26574.098997880734
LexVar110,naturalv,bog,4,14712.824846179758
LexVar133,naturalv,bog,4,25699.948194984176
LexVar133,naturalv,bog,4,27118.207232079298
LexVar139,naturalv,bog,4,27851.610244987034
LexVar139,naturalv,bog,4,27123.763836711114
LexVar140,naturalv,bog,4,25319.67019100693
LexVar140,naturalv,bog,4,26714.995165421784
LexVar157,naturalv,bog,4,24447.235625465044
LexVar157,naturalv,bog,4,26682.604793882154
LexVar163,naturalv,bog,4,23398.49189002651
LexVar169,naturalv,bog,4,19732.32217736337
LexVar169,naturalv,bog,4,27219.926134498826
LexVar170,naturalv,bog,4,25296.30752427051
LexVar176,naturalv,bog,4,26855.427767142854
LexVar176,naturalv,bog,4,27002.023303620746
LexVar181,naturalv,bog,4,27002.467478583
LexVar103,naturalv,tan,1,34223.7657625732
LexVar103,naturalv,tan,1,31494.885669085663
LexVar104,naturalv,tan,1,33466.62674186135
LexVar104,naturalv,tan,1,35026.46410238234
LexVar110,naturalv,tan,1,35104.21151228408
LexVar110,naturalv,tan,1,25542.566297489553
LexVar116,naturalv,tan,1,29371.645471705306
LexVar121,naturalv,tan,1,26461.790823645064
LexVar121,naturalv,tan,1,31420.134000556336
LexVar127,naturalv,tan,1,34091.596236389516
LexVar127,naturalv,tan,1,20948.278902463197
LexVar133,naturalv,tan,1,27700.13522339351
LexVar133,naturalv,tan,1,32475.02665074689
LexVar139,naturalv,tan,1,33751.35050019058
LexVar139,naturalv,tan,1,34158.343663370084
LexVar140,naturalv,tan,1,30113.52735764574
LexVar140,naturalv,tan,1,34444.64097883852
LexVar146,naturalv,tan,1,32021.511281911018
LexVar146,naturalv,tan,1,30167.854756959023
LexVar151,naturalv,tan,1,33929.13745025691
LexVar151,naturalv,tan,1,34548.06033912186
LexVar157,naturalv,tan,1,32765.798150626335
LexVar157,naturalv,tan,1,34984.346009429195
LexVar163,naturalv,tan,1,34218.0736318159
LexVar163,naturalv,tan,1,32610.108263698316
LexVar169,naturalv,tan,1,29886.60282514353
LexVar169,naturalv,tan,1,32624.372926183027
LexVar170,naturalv,tan,1,32331.754962888495
LexVar170,naturalv,tan,1,24732.415564435192
LexVar175,naturalv,tan,1,34520.01252514403
LexVar175,naturalv,tan,1,34728.326221553165
LexVar176,naturalv,tan,1,29281.788484810477
LexVar176,naturalv,tan,1,34745.99139178202
LexVar181,naturalv,tan,1,33761.734586599625
LexVar181,naturalv,tan,1,29747.631495605267
LexVar188,naturalv,tan,1,33987.27326335555
LexVar188,naturalv,tan,1,34549.5701828292
LexVar103,naturalv,tan,4,45296.45472431733
LexVar103,naturalv,tan,4,45001.56685672773
LexVar104,naturalv,tan,4,45212.448303212856
LexVar104,naturalv,tan,4,45617.42547624459
LexVar121,naturalv,tan,4,35776.15860693444
LexVar127,naturalv,tan,4,42174.88129360123
LexVar133,naturalv,tan,4,45599.26408355432
LexVar133,naturalv,tan,4,45527.71509527971
LexVar139,naturalv,tan,4,45668.50515076826
LexVar139,naturalv,tan,4,45847.13753890528
LexVar140,naturalv,tan,4,28964.43235817253
LexVar140,naturalv,tan,4,42316.84975634701
LexVar146,naturalv,tan,4,42066.64370022306
LexVar151,naturalv,tan,4,45734.82728064199
LexVar157,naturalv,tan,4,45753.749097596745
LexVar157,naturalv,tan,4,40417.66298696819
LexVar163,naturalv,tan,4,46131.2775858859
LexVar169,naturalv,tan,4,38513.033718756364
LexVar169,naturalv,tan,4,45916.90791556877
LexVar170,naturalv,tan,4,45085.42810248517
LexVar175,naturalv,tan,4,30448.0963298909
LexVar176,naturalv,tan,4,43674.250276105435
