participant,condition,word,exposure,synchrony
LexVar107,naturalv,kai,1,17707.197589378815
LexVar107,naturalv,kai,1,17426.182048912513
LexVar119,naturalv,kai,1,17465.441743871535
LexVar119,naturalv,kai,1,16520.409340950828
LexVar126,naturalv,kai,1,16742.91211521592
LexVar126,naturalv,kai,1,17615.610947641017
LexVar137,naturalv,kai,1,17372.540193090637
LexVar137,naturalv,kai,1,17081.68908052911
LexVar138,naturalv,kai,1,17592.404692071384
LexVar138,naturalv,kai,1,9481.813835121406
LexVar144,naturalv,kai,1,16903.72418704741
LexVar144,naturalv,kai,1,17427.331406315297
LexVar149,naturalv,kai,1,12117.868087525532
LexVar149,naturalv,kai,1,17425.656888867226
LexVar150,naturalv,kai,1,16665.93247025972
LexVar150,naturalv,kai,1,17713.938755471732
LexVar155,naturalv,kai,1,16639.227174161842
LexVar155,naturalv,kai,1,16251.594304893279
LexVar156,naturalv,kai,1,16683.15282565141
LexVar156,naturalv,kai,1,15803.200650156681
LexVar162,naturalv,kai,1,14132.331222517041
LexVar162,naturalv,kai,1,15712.219727955204
LexVar173,naturalv,kai,1,17489.280060784906
LexVar173,naturalv,kai,1,17140.005969751164
LexVar174,naturalv,kai,1,16601.1672335628
LexVar174,naturalv,kai,1,16683.93476973552
LexVar179,naturalv,kai,1,16702.22266277019
LexVar179,naturalv,kai,1,17800.541509901683
LexVar180,naturalv,kai,1,17297.60946626464
LexVar180,naturalv,kai,1,17445.428656977743
LexVar185,naturalv,kai,1,10711.295001498542
LexVar185,naturalv,kai,1,17591.003282911402
LexVar191,naturalv,kai,1,17395.254238653517
LexVar191,naturalv,kai,1,16576.63811000989
LexVar107,naturalv,kai,2,7188.136689567577
LexVar119,naturalv,kai,2,9565.150979345683
LexVar119,naturalv,kai,2,9610.17800309108
LexVar126,naturalv,kai,2,9580.570204009513
LexVar126,naturalv,kai,2,8420.846905211214
LexVar137,naturalv,kai,2,8820.078738519092
LexVar137,naturalv,kai,2,9676.308407075148
LexVar138,naturalv,kai,2,9713.443856812992
LexVar138,naturalv,kai,2,7667.2781143636275
LexVar144,naturalv,kai,2,9201.618056903568
LexVar144,naturalv,kai,2,7438.945192106508
LexVar149,naturalv,kai,2,9308.725464041585
LexVar149,naturalv,kai,2,8230.056008010344
LexVar150,naturalv,kai,2,8841.570219331297
LexVar155,naturalv,kai,2,9785.017054700505
LexVar155,naturalv,kai,2,8317.670591720977
LexVar156,naturalv,kai,2,7017.699757821821
LexVar156,naturalv,kai,2,8716.212750574145
LexVar162,naturalv,kai,2,9332.228230790144
LexVar162,naturalv,kai,2,5181.508914050831
LexVar173,naturalv,kai,2,9639.422488101465
LexVar173,naturalv,kai,2,9604.804856452627
LexVar174,naturalv,kai,2,9524.940569209431
LexVar174,naturalv,kai,2,9728.658212807613
LexVar179,naturalv,kai,2,9790.925172881665
LexVar179,naturalv,kai,2,9262.26728006763
LexVar180,naturalv,kai,2,9015.131729109937
LexVar180,naturalv,kai,2,7799.4269923033635
LexVar185,naturalv,kai,2,9562.605027272875
LexVar185,naturalv,kai,2,7825.520545807469
LexVar191,naturalv,kai,2,9457.380290910754
LexVar191,naturalv,kai,2,9286.632133927475
LexVar107,naturalv,kai,3,18982.516983278983
LexVar119,naturalv,kai,3,20306.569961750378
LexVar119,naturalv,kai,3,18938.419739498157
LexVar126,naturalv,kai,3,20231.136779488887
LexVar137,naturalv,kai,3,19831.2026347797
LexVar137,naturalv,kai,3,19794.362348703045
LexVar138,naturalv,kai,3,18700.248243979677
LexVar144,naturalv,kai,3,20159.799136685404
LexVar144,naturalv,kai,3,20436.163143565675
LexVar149,naturalv,kai,3,12997.159863071842
LexVar150,naturalv,kai,3,15829.814914697557
LexVar155,naturalv,kai,3,20310.29116781782
LexVar155,naturalv,kai,3,15442.754900791258
LexVar156,naturalv,kai,3,19609.170822220753
LexVar162,naturalv,kai,3,19842.79254183888
LexVar162,naturalv,kai,3,17415.77331476767
LexVar173,naturalv,kai,3,20132.52751140355
LexVar173,naturalv,kai,3,19717.487041113083
LexVar174,naturalv,kai,3,19999.934230700215
LexVar174,naturalv,kai,3,18691.70626576082
LexVar179,naturalv,kai,3,20357.285668577835
LexVar179,naturalv,kai,3,20422.467976770797
LexVar180,naturalv,kai,3,20261.1197079408
LexVar180,naturalv,kai,3,20071.535001065724
LexVar185,naturalv,kai,3,11106.154830908747
LexVar191,naturalv,kai,3,20398.485400291596
LexVar119,naturalv,kai,4,15828.784124891916
LexVar119,naturalv,kai,4,15815.935252808335
LexVar126,naturalv,kai,4,15924.311666969497
LexVar137,naturalv,kai,4,15825.17583376591
LexVar137,naturalv,kai,4,15811.017060734708
LexVar144,naturalv,kai,4,15460.471781736478
LexVar150,naturalv,kai,4,14654.602375903325
LexVar162,naturalv,kai,4,10509.899759324768
LexVar162,naturalv,kai,4,14075.010927026893
LexVar173,naturalv,kai,4,15889.051457184405
LexVar173,naturalv,kai,4,14878.125724691343
LexVar174,naturalv,kai,4,15668.55387214657
LexVar179,naturalv,kai,4,15967.545690450484
LexVar179,naturalv,kai,4,12822.888370312652
LexVar180,naturalv,kai,4,15760.172809277838
LexVar180,naturalv,kai,4,15824.714520368861
LexVar185,naturalv,kai,4,7188.54560375733
