participant,condition,word,exposure,synchrony
LexVar105,naturalv,mob,1,19016.07664551533
LexVar105,naturalv,mob,1,18613.03575765236
LexVar106,naturalv,mob,1,13816.145179405143
LexVar117,naturalv,mob,1,18729.458707532514
LexVar117,naturalv,mob,1,18661.941254814188
LexVar118,naturalv,mob,1,18889.768858113697
LexVar118,naturalv,mob,1,17583.426323006446
LexVar129,naturalv,mob,1,17669.04307376765
LexVar129,naturalv,mob,1,17404.826181347617
LexVar130,naturalv,mob,1,19245.809634482914
LexVar130,naturalv,mob,1,19578.57931313445
LexVar141,naturalv,mob,1,15876.97155263325
LexVar141,naturalv,mob,1,11442.955930307095
LexVar142,naturalv,mob,1,18979.926809100853
LexVar142,naturalv,mob,1,18000.166909101175
LexVar153,naturalv,mob,1,17879.426887312537
LexVar153,naturalv,mob,1,16700.46272624161
LexVar154,naturalv,mob,1,18834.063631662204
LexVar154,naturalv,mob,1,18663.757964462675
LexVar159,naturalv,mob,1,18506.33390387454
LexVar159,naturalv,mob,1,17808.08570010256
LexVar160,naturalv,mob,1,8817.928415275119
LexVar160,naturalv,mob,1,19321.981641326103
LexVar165,naturalv,mob,1,18645.82044992758
LexVar165,naturalv,mob,1,16861.22212296161
LexVar166,naturalv,mob,1,16622.426613596785
LexVar166,naturalv,mob,1,18259.93164699144
LexVar171,naturalv,mob,1,18834.87686924789
LexVar171,naturalv,mob,1,18465.352820392793
LexVar172,naturalv,mob,1,18589.36442757337
LexVar172,naturalv,mob,1,17361.78857000127
LexVar177,naturalv,mob,1,14669.00807900346
LexVar177,naturalv,mob,1,18833.09570610786
LexVar178,naturalv,mob,1,19023.59672349266
LexVar178,naturalv,mob,1,18969.90234507429
LexVar184,naturalv,mob,1,18404.129141129175
LexVar184,naturalv,mob,1,13977.088536610408
LexVar189,naturalv,mob,1,17840.144510049904
LexVar189,naturalv,mob,1,15936.950904298265
LexVar190,naturalv,mob,1,18823.041554477317
LexVar190,naturalv,mob,1,18800.7169560021
LexVar105,naturalv,mob,2,13588.052053493398
LexVar106,naturalv,mob,2,4683.688869515195
LexVar118,naturalv,mob,2,12790.092333845672
LexVar118,naturalv,mob,2,13652.365375611143
LexVar129,naturalv,mob,2,13258.710650539506
LexVar129,naturalv,mob,2,14273.507369245704
LexVar141,naturalv,mob,2,14461.239377964992
LexVar141,naturalv,mob,2,12146.219838752373
LexVar142,naturalv,mob,2,14629.219223416174
LexVar142,naturalv,mob,2,14072.775754639106
LexVar153,naturalv,mob,2,14414.04205818798
LexVar153,naturalv,mob,2,14396.701994169507
LexVar154,naturalv,mob,2,14103.383720433945
LexVar154,naturalv,mob,2,14438.857791644452
LexVar159,naturalv,mob,2,13985.873579836756
LexVar159,naturalv,mob,2,14812.149977274095
LexVar160,naturalv,mob,2,13909.535622601543
LexVar160,naturalv,mob,2,13147.492824274332
LexVar165,naturalv,mob,2,14727.278996899733
LexVar165,naturalv,mob,2,13385.643089531695
LexVar166,naturalv,mob,2,14208.60076666013
LexVar166,naturalv,mob,2,14259.821570741793
LexVar171,naturalv,mob,2,14658.457577426932
LexVar171,naturalv,mob,2,13534.139979536563
LexVar172,naturalv,mob,2,14722.904529480984
LexVar172,naturalv,mob,2,14755.274850239308
LexVar177,naturalv,mob,2,14660.84484212417
LexVar177,naturalv,mob,2,14272.572662593679
