participant,condition,word,exposure,synchrony
LexVar103,naturalv,tan,3,7503.411810902806
LexVar103,naturalv,tan,3,7354.046712593121
LexVar104,naturalv,tan,3,7376.051748202555
LexVar104,naturalv,tan,3,7796.037487066297
LexVar110,naturalv,tan,3,7503.098150274608
LexVar110,naturalv,tan,3,5767.482640752205
LexVar116,naturalv,tan,3,5792.0719651347035
LexVar121,naturalv,tan,3,6437.516982454216
LexVar121,naturalv,tan,3,6918.296843787092
LexVar127,naturalv,tan,3,7684.784574172701
LexVar127,naturalv,tan,3,3797.841689155147
LexVar133,naturalv,tan,3,7413.517455318665
LexVar133,naturalv,tan,3,7635.590915713997
LexVar139,naturalv,tan,3,7541.540254945704
LexVar139,naturalv,tan,3,7853.125290585144
LexVar140,naturalv,tan,3,6398.36944201317
LexVar140,naturalv,tan,3,7301.491994220659
LexVar146,naturalv,tan,3,7286.820485658207
LexVar146,naturalv,tan,3,7393.274503856238
LexVar151,naturalv,tan,3,7427.039709444284
LexVar151,naturalv,tan,3,7614.743727002897
LexVar157,naturalv,tan,3,7484.435846239329
LexVar157,naturalv,tan,3,7074.480066023512
LexVar163,naturalv,tan,3,7672.62554886444
LexVar163,naturalv,tan,3,7627.713002447348
LexVar169,naturalv,tan,3,7296.417092528587
LexVar169,naturalv,tan,3,7424.210779056671
LexVar170,naturalv,tan,3,7686.298315583307
LexVar170,naturalv,tan,3,6784.042626979368
LexVar175,naturalv,tan,3,7524.178057113461
LexVar175,naturalv,tan,3,7213.332391825172
LexVar176,naturalv,tan,3,7244.094026513354
LexVar176,naturalv,tan,3,7571.843178362222
LexVar181,naturalv,tan,3,7607.1082156868415
LexVar181,naturalv,tan,3,5329.409973786129
LexVar188,naturalv,tan,3,7592.895543656541
LexVar103,naturalv,tan,4,41620.5482821778
LexVar103,naturalv,tan,4,42115.96607142956
LexVar104,naturalv,tan,4,41752.98217122426
LexVar104,naturalv,tan,4,40777.70973881392
LexVar121,naturalv,tan,4,35166.99060820035
LexVar127,naturalv,tan,4,39926.580963717235
LexVar133,naturalv,tan,4,41131.06834607946
LexVar133,naturalv,tan,4,41921.82658559412
LexVar139,naturalv,tan,4,41825.157237241845
LexVar139,naturalv,tan,4,42013.960161102455
LexVar140,naturalv,tan,4,30268.518729799023
LexVar140,naturalv,tan,4,40826.591262436006
LexVar146,naturalv,tan,4,39701.35503887547
LexVar151,naturalv,tan,4,41513.17399276647
LexVar157,naturalv,tan,4,41839.90132310441
LexVar157,naturalv,tan,4,40362.29618798554
LexVar169,naturalv,tan,4,39291.57943182368
LexVar169,naturalv,tan,4,41818.45883379083
LexVar176,naturalv,tan,4,41343.85495761211
LexVar176,naturalv,tan,4,41774.01744592794
LexVar181,naturalv,tan,4,41873.7017778345
LexVar181,naturalv,tan,4,14761.837476749592
