participant,condition,word,exposure,synchrony
LexVar105,naturalv,woi,1,13746.894917440053
LexVar105,naturalv,woi,1,14344.772489427918
LexVar106,naturalv,woi,1,12381.009115905705
LexVar106,naturalv,woi,1,9608.161436969514
LexVar117,naturalv,woi,1,15369.70860887133
LexVar118,naturalv,woi,1,15127.463936192431
LexVar118,naturalv,woi,1,10869.18206645572
LexVar129,naturalv,woi,1,13303.49748966385
LexVar129,naturalv,woi,1,14527.49588350583
LexVar130,naturalv,woi,1,14961.345517477288
LexVar130,naturalv,woi,1,15606.324429476666
LexVar141,naturalv,woi,1,13641.365433910973
LexVar141,naturalv,woi,1,15039.791219749855
LexVar142,naturalv,woi,1,14837.671092780278
LexVar142,naturalv,woi,1,14904.47892935306
LexVar153,naturalv,woi,1,11858.54074358212
LexVar153,naturalv,woi,1,13339.167663834989
LexVar154,naturalv,woi,1,12851.168984798633
LexVar154,naturalv,woi,1,15346.604300575473
LexVar159,naturalv,woi,1,14828.709737233014
LexVar159,naturalv,woi,1,14884.183152100002
LexVar160,naturalv,woi,1,15020.061336085582
LexVar160,naturalv,woi,1,15397.765997363997
LexVar165,naturalv,woi,1,14720.020620535273
LexVar165,naturalv,woi,1,14441.30114233665
LexVar166,naturalv,woi,1,14691.377736290553
LexVar166,naturalv,woi,1,14989.302696172661
LexVar171,naturalv,woi,1,14938.855235588719
LexVar171,naturalv,woi,1,15194.899247137771
LexVar172,naturalv,woi,1,14254.662738936491
LexVar172,naturalv,woi,1,14976.649288428205
LexVar177,naturalv,woi,1,15489.809880123494
LexVar177,naturalv,woi,1,15392.880884618275
LexVar178,naturalv,woi,1,14794.34507688729
LexVar178,naturalv,woi,1,13437.013768634046
LexVar184,naturalv,woi,1,9038.94790163165
LexVar184,naturalv,woi,1,14088.792580907693
LexVar189,naturalv,woi,1,15532.816597090865
LexVar189,naturalv,woi,1,15122.029143465024
LexVar190,naturalv,woi,1,15388.1304122887
LexVar190,naturalv,woi,1,14933.094962968995
LexVar105,naturalv,woi,2,11221.853389457568
LexVar106,naturalv,woi,2,9510.7489738427
LexVar106,naturalv,woi,2,7415.288419879782
LexVar117,naturalv,woi,2,12758.604970925922
LexVar118,naturalv,woi,2,12478.191976718475
LexVar118,naturalv,woi,2,8281.470213434044
LexVar129,naturalv,woi,2,12070.26091620803
LexVar129,naturalv,woi,2,13036.674150832469
LexVar141,naturalv,woi,2,12897.468279619083
LexVar141,naturalv,woi,2,11832.722943058958
LexVar142,naturalv,woi,2,12680.142578104125
LexVar142,naturalv,woi,2,12865.395153307572
LexVar153,naturalv,woi,2,7084.574942607853
LexVar153,naturalv,woi,2,12218.20198025624
LexVar154,naturalv,woi,2,12087.67955718575
LexVar154,naturalv,woi,2,12949.65157627296
LexVar159,naturalv,woi,2,12943.179756560974
LexVar160,naturalv,woi,2,12991.507646126767
LexVar160,naturalv,woi,2,8922.459864962007
LexVar165,naturalv,woi,2,12973.330388128938
LexVar165,naturalv,woi,2,12227.227823821579
LexVar166,naturalv,woi,2,12566.801537873378
LexVar166,naturalv,woi,2,12737.604486373395
LexVar171,naturalv,woi,2,12579.353304019674
LexVar171,naturalv,woi,2,12285.784652120024
LexVar172,naturalv,woi,2,12875.44108813085
LexVar172,naturalv,woi,2,11244.07621034069
LexVar177,naturalv,woi,2,12680.07538089176
LexVar177,naturalv,woi,2,11398.40753147702
LexVar178,naturalv,woi,2,12869.409625412554
LexVar178,naturalv,woi,2,12872.637511593806
LexVar184,naturalv,woi,2,12889.724203936243
LexVar184,naturalv,woi,2,11207.26350611746
LexVar189,naturalv,woi,2,11417.487710307663
LexVar189,naturalv,woi,2,10467.99824243027
LexVar190,naturalv,woi,2,12021.463360005282
LexVar190,naturalv,woi,2,12869.492116710831
LexVar106,naturalv,woi,3,15933.41907050428
LexVar118,naturalv,woi,3,17224.923663808513
LexVar118,naturalv,woi,3,7013.190917843972
LexVar129,naturalv,woi,3,18932.733565043764
LexVar129,naturalv,woi,3,14877.80848304441
LexVar141,naturalv,woi,3,16329.161981208972
LexVar142,naturalv,woi,3,19141.588617304074
LexVar142,naturalv,woi,3,14574.75422458697
LexVar153,naturalv,woi,3,14848.115604455288
LexVar153,naturalv,woi,3,18984.78237392411
LexVar154,naturalv,woi,3,18799.87658195239
LexVar159,naturalv,woi,3,18914.009609982062
LexVar160,naturalv,woi,3,15662.579613199541
LexVar160,naturalv,woi,3,18921.30498135263
LexVar165,naturalv,woi,3,19214.89693664266
LexVar165,naturalv,woi,3,19087.2001492763
LexVar166,naturalv,woi,3,18997.825370604976
LexVar166,naturalv,woi,3,19109.372462681567
LexVar171,naturalv,woi,3,18831.395903442073
LexVar171,naturalv,woi,3,17973.46581290597
LexVar172,naturalv,woi,3,18192.88251820881
LexVar172,naturalv,woi,3,15821.830725582757
LexVar177,naturalv,woi,3,18314.962766410194
LexVar177,naturalv,woi,3,18863.493099205345
LexVar178,naturalv,woi,3,18826.898030427667
LexVar178,naturalv,woi,3,18519.93703678866
LexVar184,naturalv,woi,3,17782.174189590143
LexVar184,naturalv,woi,3,18328.99147310069
LexVar189,naturalv,woi,3,17173.53038605631
LexVar190,naturalv,woi,3,18491.06970094187
LexVar190,naturalv,woi,3,19023.852314742307
LexVar129,naturalv,woi,4,10041.410256520287
LexVar142,naturalv,woi,4,15389.214870012584
LexVar153,naturalv,woi,4,7659.284915213792
LexVar153,naturalv,woi,4,12850.208978045133
LexVar154,naturalv,woi,4,15109.561050549586
LexVar159,naturalv,woi,4,15498.105998254578
LexVar160,naturalv,woi,4,14480.439054589107
LexVar165,naturalv,woi,4,13795.148812741767
LexVar166,naturalv,woi,4,15458.38790920594
LexVar166,naturalv,woi,4,15496.33328890144
LexVar171,naturalv,woi,4,15446.514658140184
LexVar171,naturalv,woi,4,13338.572734531755
LexVar177,naturalv,woi,4,15218.813469099623
LexVar178,naturalv,woi,4,15116.743856171977
LexVar184,naturalv,woi,4,15489.388573067137
LexVar184,naturalv,woi,4,15240.269514202562
LexVar190,naturalv,woi,4,15574.509444733741
