participant,condition,word,exposure,synchrony
LexVar105,stable,kai,1,38141.29493015686
LexVar105,stable,kai,1,30637.937367764844
LexVar106,stable,kai,1,37601.13305486772
LexVar106,stable,kai,1,37839.9434036086
LexVar117,stable,kai,1,38612.883151473165
LexVar118,stable,kai,1,37292.146265833806
LexVar118,stable,kai,1,36796.86874130696
LexVar129,stable,kai,1,37934.50389879745
LexVar129,stable,kai,1,31091.717451603345
LexVar130,stable,kai,1,38264.99082557045
LexVar130,stable,kai,1,38250.6098373819
LexVar141,stable,kai,1,35930.6110370303
LexVar141,stable,kai,1,36476.29780605526
LexVar142,stable,kai,1,38231.02310070138
LexVar142,stable,kai,1,37756.549320922815
LexVar153,stable,kai,1,35349.94705257532
LexVar153,stable,kai,1,38117.92040680432
LexVar154,stable,kai,1,38136.55752854522
LexVar154,stable,kai,1,37340.47775395726
LexVar159,stable,kai,1,38270.98996397766
LexVar159,stable,kai,1,38056.07218465476
LexVar160,stable,kai,1,37809.89287068854
LexVar160,stable,kai,1,38601.44393590935
LexVar165,stable,kai,1,38498.05483171453
LexVar165,stable,kai,1,38442.07374257383
LexVar166,stable,kai,1,38356.44751291477
LexVar166,stable,kai,1,37814.874160596104
LexVar171,stable,kai,1,36178.437015589836
LexVar171,stable,kai,1,33461.14901336085
LexVar172,stable,kai,1,38559.14661606554
LexVar172,stable,kai,1,36966.75926376051
LexVar177,stable,kai,1,36979.94148168131
LexVar177,stable,kai,1,37687.83854916178
LexVar178,stable,kai,1,38103.570111048626
LexVar178,stable,kai,1,38240.72600107473
LexVar184,stable,kai,1,38540.255009777706
LexVar184,stable,kai,1,11127.343920492925
LexVar189,stable,kai,1,38076.42305121104
LexVar189,stable,kai,1,36030.519895410216
LexVar190,stable,kai,1,37248.116700869585
LexVar190,stable,kai,1,36014.930657046796
LexVar105,stable,kai,2,29277.593350622985
LexVar106,stable,kai,2,29475.119582112417
LexVar106,stable,kai,2,29374.46282251255
LexVar118,stable,kai,2,24157.287800264872
LexVar129,stable,kai,2,29063.739076877402
LexVar129,stable,kai,2,27402.741119111735
LexVar130,stable,kai,2,29264.432251535694
LexVar130,stable,kai,2,26483.30346225037
LexVar141,stable,kai,2,29376.708519810392
LexVar141,stable,kai,2,27053.74507995516
LexVar142,stable,kai,2,27799.13916224145
LexVar142,stable,kai,2,28989.51047686109
LexVar153,stable,kai,2,27417.235147335283
LexVar159,stable,kai,2,29200.285033826112
LexVar159,stable,kai,2,26569.975090018073
LexVar160,stable,kai,2,24369.147449123207
LexVar160,stable,kai,2,28635.05465821713
LexVar165,stable,kai,2,29327.239237833073
LexVar165,stable,kai,2,28830.4316638432
LexVar166,stable,kai,2,27429.909727479164
LexVar166,stable,kai,2,29259.842574284954
LexVar171,stable,kai,2,29033.70827198402
LexVar171,stable,kai,2,25013.91121706826
LexVar172,stable,kai,2,29211.607916321074
LexVar172,stable,kai,2,28495.312605697778
LexVar177,stable,kai,2,28277.270328860654
LexVar177,stable,kai,2,28962.83000041483
LexVar178,stable,kai,2,29281.955516783186
LexVar178,stable,kai,2,29272.884055139082
LexVar184,stable,kai,2,29279.10494045697
LexVar184,stable,kai,2,8212.618056709818
LexVar189,stable,kai,2,29011.936199868796
LexVar190,stable,kai,2,29391.0014622975
LexVar190,stable,kai,2,28400.539225407505
LexVar105,stable,kai,3,45399.237507396356
LexVar106,stable,kai,3,44037.27100038291
LexVar106,stable,kai,3,45937.816657662406
LexVar129,stable,kai,3,45183.0790426383
LexVar129,stable,kai,3,40222.02724575349
LexVar130,stable,kai,3,45350.864059358966
LexVar130,stable,kai,3,45667.774500043604
LexVar141,stable,kai,3,45422.785411022785
LexVar141,stable,kai,3,29909.019455138514
LexVar142,stable,kai,3,45322.62122355035
LexVar153,stable,kai,3,38928.96440134322
LexVar159,stable,kai,3,44169.95076653185
LexVar159,stable,kai,3,44924.664479402934
LexVar160,stable,kai,3,44708.98102400521
LexVar165,stable,kai,3,45641.133638429215
LexVar165,stable,kai,3,45840.30139125069
LexVar166,stable,kai,3,45307.37947216907
LexVar166,stable,kai,3,45540.85022714933
LexVar171,stable,kai,3,45828.00350792551
LexVar172,stable,kai,3,41901.615825367684
LexVar172,stable,kai,3,45222.16624797789
LexVar177,stable,kai,3,45607.75906275544
LexVar177,stable,kai,3,45730.06019875277
LexVar178,stable,kai,3,45164.36959237524
LexVar178,stable,kai,3,44389.96087720106
LexVar184,stable,kai,3,44818.41614273483
LexVar184,stable,kai,3,19419.159398389515
LexVar190,stable,kai,3,45496.28696468584
LexVar190,stable,kai,3,44533.37410987714
LexVar129,stable,kai,4,29627.799855106365
LexVar129,stable,kai,4,29363.95451478005
LexVar130,stable,kai,4,28510.25329969749
LexVar130,stable,kai,4,29488.265047793764
LexVar141,stable,kai,4,26873.483795876637
LexVar142,stable,kai,4,29533.103312899144
LexVar159,stable,kai,4,28390.71148242138
LexVar159,stable,kai,4,28851.192381445522
LexVar165,stable,kai,4,29597.668041182405
LexVar165,stable,kai,4,29608.609509340615
LexVar166,stable,kai,4,28683.922373542264
LexVar166,stable,kai,4,28688.320715477963
LexVar171,stable,kai,4,28634.91720970207
LexVar172,stable,kai,4,27870.684321224977
LexVar177,stable,kai,4,29612.398576710948
LexVar177,stable,kai,4,28517.78441561371
LexVar178,stable,kai,4,29989.42465127469
LexVar178,stable,kai,4,28820.94806313954
LexVar184,stable,kai,4,29741.52069638287
LexVar184,stable,kai,4,4853.578965581923
LexVar190,stable,kai,4,29897.734864569447
LexVar190,stable,kai,4,29781.734331136857
