participant,condition,word,exposure,synchrony
LexVar107,stable,tan,1,14049.594280903328
LexVar107,stable,tan,1,17989.600456328022
LexVar119,stable,tan,1,14947.345876556163
LexVar119,stable,tan,1,17353.036815258496
LexVar126,stable,tan,1,18120.164087772777
LexVar126,stable,tan,1,16468.586017997877
LexVar137,stable,tan,1,12332.885123566986
LexVar137,stable,tan,1,14929.69129492301
LexVar138,stable,tan,1,18038.93487867675
LexVar138,stable,tan,1,10600.606266993576
LexVar144,stable,tan,1,16790.68345739534
LexVar144,stable,tan,1,17216.39066883599
LexVar149,stable,tan,1,18098.948559270993
LexVar149,stable,tan,1,17968.522335332786
LexVar150,stable,tan,1,17817.349564395507
LexVar150,stable,tan,1,16769.723948243434
LexVar155,stable,tan,1,17331.721837793993
LexVar155,stable,tan,1,17843.5368546299
LexVar156,stable,tan,1,17663.615505977938
LexVar156,stable,tan,1,16332.417446573629
LexVar162,stable,tan,1,17529.352281606232
LexVar162,stable,tan,1,14502.862661839312
LexVar173,stable,tan,1,14431.203632611563
LexVar173,stable,tan,1,16569.64689439548
LexVar174,stable,tan,1,9083.179535373807
LexVar174,stable,tan,1,17785.288597998533
LexVar179,stable,tan,1,17523.60342940427
LexVar179,stable,tan,1,17537.808997713375
LexVar180,stable,tan,1,15710.65766659386
LexVar180,stable,tan,1,12725.916064906118
LexVar185,stable,tan,1,18066.09224762055
LexVar185,stable,tan,1,17619.15274907986
LexVar191,stable,tan,1,17910.51527473019
LexVar191,stable,tan,1,18040.037247090317
LexVar107,stable,tan,2,17030.7922528676
LexVar107,stable,tan,2,17571.220787660157
LexVar119,stable,tan,2,15529.957850053494
LexVar119,stable,tan,2,17903.825881055658
LexVar137,stable,tan,2,17247.462100264496
LexVar137,stable,tan,2,16893.883537370082
LexVar138,stable,tan,2,11743.654709576524
LexVar138,stable,tan,2,11947.866306119415
LexVar144,stable,tan,2,17540.885851941577
LexVar144,stable,tan,2,13696.147076165815
LexVar149,stable,tan,2,17246.776112274434
LexVar149,stable,tan,2,17641.75870416036
LexVar150,stable,tan,2,17734.607760608895
LexVar150,stable,tan,2,14515.865183109581
LexVar155,stable,tan,2,17275.22310967726
LexVar155,stable,tan,2,17379.487818869446
LexVar156,stable,tan,2,16235.854298110926
LexVar156,stable,tan,2,11834.862105190126
LexVar162,stable,tan,2,17116.04850589633
LexVar173,stable,tan,2,15857.175777278193
LexVar173,stable,tan,2,17889.490344639118
LexVar174,stable,tan,2,15265.556312453073
LexVar174,stable,tan,2,17643.680178994477
LexVar179,stable,tan,2,17567.690137428355
LexVar179,stable,tan,2,17431.618978765855
LexVar180,stable,tan,2,16858.13581640975
LexVar180,stable,tan,2,16213.416905293494
LexVar185,stable,tan,2,17443.68209730232
LexVar185,stable,tan,2,14403.008459139162
LexVar191,stable,tan,2,17528.49479349266
LexVar191,stable,tan,2,14358.171084240665
LexVar107,stable,tan,3,11904.98334600912
LexVar107,stable,tan,3,10610.282021169496
LexVar119,stable,tan,3,10354.380148234624
LexVar119,stable,tan,3,11640.330870007041
LexVar137,stable,tan,3,11592.19134170244
LexVar137,stable,tan,3,11300.653238856052
LexVar138,stable,tan,3,11029.466061445155
LexVar138,stable,tan,3,10862.492768708826
LexVar144,stable,tan,3,6485.115192092681
LexVar149,stable,tan,3,12049.358491145776
LexVar149,stable,tan,3,11509.668628678586
LexVar150,stable,tan,3,12331.329051024446
LexVar150,stable,tan,3,8874.820236471514
LexVar155,stable,tan,3,12246.838270213599
LexVar155,stable,tan,3,10425.80196775458
LexVar156,stable,tan,3,11218.378607535326
LexVar162,stable,tan,3,7818.795818059188
LexVar173,stable,tan,3,11758.227251608632
LexVar173,stable,tan,3,10956.58298731942
LexVar174,stable,tan,3,10717.553812272163
LexVar174,stable,tan,3,11352.143325077586
LexVar179,stable,tan,3,11800.584058331398
LexVar179,stable,tan,3,11792.608214068952
LexVar180,stable,tan,3,11754.04298260072
LexVar180,stable,tan,3,12500.86312083195
LexVar185,stable,tan,3,11848.748355799877
LexVar185,stable,tan,3,4656.272638218245
LexVar191,stable,tan,3,12467.799476818309
LexVar107,stable,tan,4,14449.29094266888
LexVar119,stable,tan,4,14824.920856181909
LexVar119,stable,tan,4,14352.312848849635
LexVar137,stable,tan,4,13738.843880076462
LexVar138,stable,tan,4,14432.785456970145
LexVar149,stable,tan,4,13035.511267990647
LexVar149,stable,tan,4,8620.207620181236
LexVar150,stable,tan,4,14300.335636633843
LexVar155,stable,tan,4,14332.331475323177
LexVar155,stable,tan,4,10916.666705618132
LexVar162,stable,tan,4,11839.155572806847
LexVar173,stable,tan,4,12743.808140552912
LexVar173,stable,tan,4,14735.229034574133
LexVar174,stable,tan,4,10450.950149955981
LexVar174,stable,tan,4,14120.754604165675
LexVar179,stable,tan,4,14522.798995646657
LexVar179,stable,tan,4,13356.107459535304
LexVar180,stable,tan,4,14194.79665138377
LexVar185,stable,tan,4,12522.367042033347
LexVar191,stable,tan,4,15640.881761675759
