participant,condition,word,exposure,synchrony
LexVar105,stable,voo,1,18850.635519116666
LexVar105,stable,voo,1,21040.860223570275
LexVar106,stable,voo,1,23247.319299770345
LexVar106,stable,voo,1,17696.876895323338
LexVar117,stable,voo,1,23284.340824705367
LexVar117,stable,voo,1,24283.574748980296
LexVar118,stable,voo,1,21843.620288598333
LexVar118,stable,voo,1,20294.67205944711
LexVar129,stable,voo,1,19045.54298716176
LexVar129,stable,voo,1,22234.82720637732
LexVar130,stable,voo,1,22041.252617031754
LexVar130,stable,voo,1,18340.870352536916
LexVar141,stable,voo,1,22568.09024608389
LexVar141,stable,voo,1,20478.0742883104
LexVar142,stable,voo,1,22456.562944067355
LexVar142,stable,voo,1,22583.768965160736
LexVar153,stable,voo,1,20275.07693650392
LexVar153,stable,voo,1,20052.911561334473
LexVar154,stable,voo,1,22291.03325508985
LexVar154,stable,voo,1,19710.545045627714
LexVar159,stable,voo,1,20008.591136963412
LexVar159,stable,voo,1,22210.052840803575
LexVar160,stable,voo,1,23205.835574300174
LexVar160,stable,voo,1,22709.84270786735
LexVar165,stable,voo,1,22859.36687391124
LexVar165,stable,voo,1,22267.137202770307
LexVar166,stable,voo,1,19551.168438778306
LexVar166,stable,voo,1,22133.41075982296
LexVar171,stable,voo,1,22348.81636914621
LexVar171,stable,voo,1,11501.9906845859
LexVar172,stable,voo,1,21830.430025873815
LexVar172,stable,voo,1,21733.435478431813
LexVar177,stable,voo,1,21893.857195531593
LexVar177,stable,voo,1,18093.3473602681
LexVar178,stable,voo,1,23009.60451269386
LexVar178,stable,voo,1,17568.103143238666
LexVar184,stable,voo,1,21327.167201754168
LexVar184,stable,voo,1,22344.995591317314
LexVar189,stable,voo,1,20181.345601453544
LexVar189,stable,voo,1,14319.284931222357
LexVar190,stable,voo,1,22205.813516196053
LexVar190,stable,voo,1,23074.28927636218
LexVar105,stable,voo,2,25922.61705886495
LexVar105,stable,voo,2,26929.325081602972
LexVar106,stable,voo,2,25344.388264752844
LexVar106,stable,voo,2,26017.812365212823
LexVar118,stable,voo,2,26266.993850721305
LexVar118,stable,voo,2,25743.050547208826
LexVar129,stable,voo,2,25009.616615744893
LexVar129,stable,voo,2,26356.459385982733
LexVar130,stable,voo,2,26325.82154916431
LexVar130,stable,voo,2,26370.886103446657
LexVar141,stable,voo,2,25559.37002146285
LexVar141,stable,voo,2,26658.94036034406
LexVar142,stable,voo,2,26714.655521910525
LexVar142,stable,voo,2,26478.569692342753
LexVar153,stable,voo,2,24677.32742246302
LexVar153,stable,voo,2,25538.43347285797
LexVar154,stable,voo,2,26097.71774804578
LexVar154,stable,voo,2,25075.68244848006
LexVar159,stable,voo,2,26582.0576941632
LexVar160,stable,voo,2,26850.843966106826
LexVar160,stable,voo,2,26535.515331295734
LexVar165,stable,voo,2,26134.525318499
LexVar165,stable,voo,2,25632.94054661763
LexVar166,stable,voo,2,25889.2916351768
LexVar166,stable,voo,2,25121.040087017558
LexVar171,stable,voo,2,26326.728876700614
LexVar171,stable,voo,2,12397.976975802707
LexVar172,stable,voo,2,23038.096975423254
LexVar172,stable,voo,2,20119.007405080913
LexVar177,stable,voo,2,24693.58605744326
LexVar177,stable,voo,2,23457.66351433059
LexVar178,stable,voo,2,26307.038676367014
LexVar178,stable,voo,2,25555.54334003359
LexVar184,stable,voo,2,25652.39953586069
LexVar184,stable,voo,2,26459.376357186695
LexVar189,stable,voo,2,22951.543193004734
LexVar190,stable,voo,2,21152.91649800138
LexVar105,stable,voo,3,13821.32150335514
LexVar106,stable,voo,3,15642.167784118252
LexVar118,stable,voo,3,16401.16650499074
LexVar129,stable,voo,3,15201.609179201016
LexVar129,stable,voo,3,16400.983621850966
LexVar130,stable,voo,3,16358.901224680234
LexVar130,stable,voo,3,16597.96659576131
LexVar141,stable,voo,3,11203.904727979876
LexVar141,stable,voo,3,16413.251093150437
LexVar142,stable,voo,3,16416.8902978862
LexVar142,stable,voo,3,16064.581587941846
LexVar153,stable,voo,3,9759.259276473362
LexVar154,stable,voo,3,12774.916087853437
LexVar159,stable,voo,3,15647.059636971439
LexVar160,stable,voo,3,16691.6633802377
LexVar160,stable,voo,3,15986.65775656158
LexVar165,stable,voo,3,16478.44501898154
LexVar165,stable,voo,3,15855.708499272545
LexVar166,stable,voo,3,16394.223564937744
LexVar166,stable,voo,3,16350.1740810389
LexVar171,stable,voo,3,16162.947978373066
LexVar171,stable,voo,3,12821.364052233996
