participant,condition,word,exposure,synchrony
LexVar103,stable,woi,1,37329.476833860994
LexVar103,stable,woi,1,35395.55116537946
LexVar104,stable,woi,1,38750.120799141594
LexVar104,stable,woi,1,38607.30138073014
LexVar110,stable,woi,1,38192.583076902956
LexVar110,stable,woi,1,37894.01770299988
LexVar116,stable,woi,1,38986.953489567066
LexVar116,stable,woi,1,36484.58104022247
LexVar121,stable,woi,1,36731.263971475906
LexVar121,stable,woi,1,38039.06044965591
LexVar133,stable,woi,1,37112.394902949105
LexVar133,stable,woi,1,38769.5208332035
LexVar139,stable,woi,1,39112.12174102404
LexVar139,stable,woi,1,37423.49495194222
LexVar140,stable,woi,1,29621.248867951574
LexVar140,stable,woi,1,35957.7378438118
LexVar146,stable,woi,1,39324.512305684184
LexVar146,stable,woi,1,32352.60109328922
LexVar151,stable,woi,1,37469.36608683188
LexVar151,stable,woi,1,38915.25875041876
LexVar157,stable,woi,1,31385.1175595687
LexVar157,stable,woi,1,38307.22106103588
LexVar163,stable,woi,1,38839.0587918829
LexVar163,stable,woi,1,39077.537021525786
LexVar169,stable,woi,1,37721.250242509
LexVar169,stable,woi,1,38439.98892945195
LexVar170,stable,woi,1,34340.5907384546
LexVar170,stable,woi,1,38541.21148358337
LexVar175,stable,woi,1,16847.186115180426
LexVar175,stable,woi,1,37383.98333626516
LexVar176,stable,woi,1,38630.83955892165
LexVar176,stable,woi,1,39142.83176291936
LexVar181,stable,woi,1,39104.80108182478
LexVar181,stable,woi,1,38511.46936257145
LexVar182,stable,woi,1,36172.27404823931
LexVar182,stable,woi,1,38900.9799401116
LexVar188,stable,woi,1,37430.94720219976
LexVar188,stable,woi,1,38412.59457517382
LexVar103,stable,woi,2,19727.23642520022
LexVar103,stable,woi,2,19809.433356520683
LexVar104,stable,woi,2,19824.237557998684
LexVar104,stable,woi,2,21369.138218996686
LexVar110,stable,woi,2,19552.406145001216
LexVar110,stable,woi,2,19671.181527989484
LexVar116,stable,woi,2,20445.55989292043
LexVar116,stable,woi,2,20635.092787270958
LexVar121,stable,woi,2,11765.968379519714
LexVar121,stable,woi,2,19717.26688820776
LexVar133,stable,woi,2,19190.75824730608
LexVar133,stable,woi,2,21251.927102445676
LexVar139,stable,woi,2,21480.482139967517
LexVar139,stable,woi,2,19527.806800204475
LexVar140,stable,woi,2,14442.410914073229
LexVar140,stable,woi,2,21105.737367591883
LexVar146,stable,woi,2,19359.86551944588
LexVar146,stable,woi,2,20292.177899239636
LexVar151,stable,woi,2,20974.296068787204
LexVar151,stable,woi,2,20829.890102243382
LexVar157,stable,woi,2,21077.321076321172
LexVar157,stable,woi,2,20787.623100738336
LexVar163,stable,woi,2,21154.202851835387
LexVar163,stable,woi,2,20918.83709188635
LexVar169,stable,woi,2,13787.042570002894
LexVar169,stable,woi,2,18664.369948299496
LexVar170,stable,woi,2,12697.814704384728
LexVar170,stable,woi,2,21371.261709329694
LexVar175,stable,woi,2,14703.461694422826
LexVar175,stable,woi,2,20926.044170847097
LexVar176,stable,woi,2,17880.806626115438
LexVar176,stable,woi,2,20917.138102138244
LexVar181,stable,woi,2,20994.680694708248
LexVar181,stable,woi,2,21150.20592093201
LexVar182,stable,woi,2,20349.504617317263
LexVar182,stable,woi,2,19338.493402744167
LexVar188,stable,woi,2,21300.11026944858
LexVar188,stable,woi,2,13862.425608807755
LexVar103,stable,woi,3,20898.863827806326
LexVar104,stable,woi,3,20736.166042475055
LexVar104,stable,woi,3,19406.076618090563
LexVar110,stable,woi,3,20211.34192810167
LexVar110,stable,woi,3,17796.22655848234
LexVar116,stable,woi,3,21006.896075036362
LexVar116,stable,woi,3,13912.459174063079
LexVar121,stable,woi,3,18549.018183394037
LexVar121,stable,woi,3,20815.789923856006
LexVar133,stable,woi,3,20803.260640732296
LexVar133,stable,woi,3,18244.41453902117
LexVar139,stable,woi,3,21250.67883484199
LexVar139,stable,woi,3,20938.925429677372
LexVar140,stable,woi,3,17067.18527406697
LexVar140,stable,woi,3,21068.510102484226
LexVar146,stable,woi,3,20670.399514241788
LexVar146,stable,woi,3,21265.05507874679
LexVar151,stable,woi,3,20899.089460502208
LexVar151,stable,woi,3,20926.699514230368
LexVar157,stable,woi,3,19469.180647293513
LexVar157,stable,woi,3,19742.1695021312
LexVar163,stable,woi,3,20709.740373033048
LexVar163,stable,woi,3,19521.060241208823
LexVar169,stable,woi,3,21234.56580228626
LexVar169,stable,woi,3,19043.64718041755
LexVar170,stable,woi,3,20488.421072267185
LexVar170,stable,woi,3,19970.24044210077
LexVar175,stable,woi,3,12537.686338388025
LexVar175,stable,woi,3,20932.759949172425
LexVar176,stable,woi,3,20389.967952163464
LexVar176,stable,woi,3,21043.201050538886
LexVar181,stable,woi,3,19685.9241727371
LexVar181,stable,woi,3,20813.95618579199
LexVar188,stable,woi,3,21118.72442664751
LexVar103,stable,woi,4,13085.046928111953
LexVar104,stable,woi,4,17816.597823284308
LexVar104,stable,woi,4,17863.3705637601
LexVar110,stable,woi,4,14130.691916037522
LexVar116,stable,woi,4,18514.2284680505
LexVar121,stable,woi,4,13898.62691001722
LexVar121,stable,woi,4,17871.626037474354
LexVar133,stable,woi,4,16105.030506555504
LexVar133,stable,woi,4,17888.374960630517
LexVar139,stable,woi,4,17871.4566321225
LexVar139,stable,woi,4,15057.24230916301
LexVar140,stable,woi,4,18200.396110449834
LexVar146,stable,woi,4,17862.00386564282
LexVar146,stable,woi,4,12015.29011874679
LexVar151,stable,woi,4,18057.0910894447
LexVar151,stable,woi,4,17924.739975610046
LexVar157,stable,woi,4,15678.265201329876
LexVar157,stable,woi,4,17676.140122350836
LexVar163,stable,woi,4,18242.418519270097
LexVar163,stable,woi,4,18567.660558881882
LexVar169,stable,woi,4,10714.167469224429
LexVar169,stable,woi,4,17132.022771179614
LexVar170,stable,woi,4,12747.652190465973
LexVar170,stable,woi,4,18031.093215808025
LexVar175,stable,woi,4,15699.841287146535
LexVar175,stable,woi,4,16522.325322198976
LexVar176,stable,woi,4,17622.028722430587
LexVar176,stable,woi,4,17825.401627392355
LexVar181,stable,woi,4,18003.347791232878
LexVar181,stable,woi,4,17329.641584347595
LexVar188,stable,woi,4,17717.16174871176
