participant,condition,word,exposure,synchrony
LexVar103,unnaturalv,kai,1,18849.404684298548
LexVar103,unnaturalv,kai,1,14269.695872349226
LexVar104,unnaturalv,kai,1,18903.82257622514
LexVar104,unnaturalv,kai,1,16936.189779371463
LexVar110,unnaturalv,kai,1,18961.5491471829
LexVar110,unnaturalv,kai,1,12377.9435429218
LexVar116,unnaturalv,kai,1,18634.064453905856
LexVar116,unnaturalv,kai,1,18352.667052990215
LexVar121,unnaturalv,kai,1,14669.789159315842
LexVar121,unnaturalv,kai,1,17886.91156196301
LexVar127,unnaturalv,kai,1,17236.364890743946
LexVar127,unnaturalv,kai,1,18408.54122865053
LexVar133,unnaturalv,kai,1,17292.972088541166
LexVar133,unnaturalv,kai,1,18419.233983447437
LexVar139,unnaturalv,kai,1,12236.250568590023
LexVar139,unnaturalv,kai,1,18563.63073160279
LexVar140,unnaturalv,kai,1,18375.55213871166
LexVar140,unnaturalv,kai,1,17870.09774423636
LexVar146,unnaturalv,kai,1,18564.020751983688
LexVar146,unnaturalv,kai,1,17868.852673153575
LexVar151,unnaturalv,kai,1,17403.03387623341
LexVar151,unnaturalv,kai,1,18425.68497650325
LexVar157,unnaturalv,kai,1,18868.304977141153
LexVar157,unnaturalv,kai,1,16025.243866916433
LexVar163,unnaturalv,kai,1,18453.681799241025
LexVar163,unnaturalv,kai,1,18157.825887959592
LexVar169,unnaturalv,kai,1,18228.037922480635
LexVar169,unnaturalv,kai,1,18955.066000001378
LexVar170,unnaturalv,kai,1,19005.232837873747
LexVar170,unnaturalv,kai,1,16780.41672207326
LexVar175,unnaturalv,kai,1,15082.958100348776
LexVar175,unnaturalv,kai,1,15998.817425611416
LexVar176,unnaturalv,kai,1,18578.335441648418
LexVar176,unnaturalv,kai,1,17856.413590057677
LexVar181,unnaturalv,kai,1,17664.566180629066
LexVar181,unnaturalv,kai,1,17479.27640281214
LexVar182,unnaturalv,kai,1,18807.631159993383
LexVar182,unnaturalv,kai,1,16071.733291796729
LexVar188,unnaturalv,kai,1,17277.25822968045
LexVar188,unnaturalv,kai,1,17233.285815563806
LexVar103,unnaturalv,kai,2,9775.648396567041
LexVar103,unnaturalv,kai,2,11435.086326047458
LexVar104,unnaturalv,kai,2,11074.176085588257
LexVar104,unnaturalv,kai,2,10728.790180322148
LexVar110,unnaturalv,kai,2,10279.519564551862
LexVar110,unnaturalv,kai,2,7777.677177787519
LexVar116,unnaturalv,kai,2,11238.530839843635
LexVar116,unnaturalv,kai,2,11358.079055832308
LexVar121,unnaturalv,kai,2,10973.828935945392
LexVar121,unnaturalv,kai,2,11095.857087426279
LexVar127,unnaturalv,kai,2,10367.428111911597
LexVar127,unnaturalv,kai,2,9446.752696690139
LexVar133,unnaturalv,kai,2,8186.652161157795
LexVar133,unnaturalv,kai,2,8711.761394373692
