participant,condition,word,exposure,synchrony
LexVar119,unnaturalv,mob,1,22498.32655004912
LexVar119,unnaturalv,mob,1,16901.066035269403
LexVar126,unnaturalv,mob,1,21085.090934249823
LexVar126,unnaturalv,mob,1,22083.781989148185
LexVar137,unnaturalv,mob,1,21494.163896247388
LexVar137,unnaturalv,mob,1,22691.871727995298
LexVar138,unnaturalv,mob,1,15143.038360516473
LexVar138,unnaturalv,mob,1,21169.898766166247
LexVar144,unnaturalv,mob,1,23064.815393297376
LexVar144,unnaturalv,mob,1,22535.53301671438
LexVar149,unnaturalv,mob,1,21727.07355610479
LexVar149,unnaturalv,mob,1,22733.857371981696
LexVar150,unnaturalv,mob,1,21081.450167772793
LexVar150,unnaturalv,mob,1,21946.205388661365
LexVar155,unnaturalv,mob,1,17886.6214644339
LexVar155,unnaturalv,mob,1,18984.54820694664
LexVar156,unnaturalv,mob,1,18483.793875731673
LexVar156,unnaturalv,mob,1,22323.110503335203
LexVar162,unnaturalv,mob,1,12080.482975346567
LexVar162,unnaturalv,mob,1,21735.199217088375
LexVar173,unnaturalv,mob,1,22718.296527095994
LexVar173,unnaturalv,mob,1,22605.629860406072
LexVar174,unnaturalv,mob,1,22608.746369854645
LexVar174,unnaturalv,mob,1,20806.79365688071
LexVar179,unnaturalv,mob,1,22540.07056816896
LexVar179,unnaturalv,mob,1,22382.224235094473
LexVar180,unnaturalv,mob,1,22640.982752079817
LexVar180,unnaturalv,mob,1,22537.023647823087
LexVar185,unnaturalv,mob,1,14367.039669511207
LexVar185,unnaturalv,mob,1,21818.581805398804
LexVar191,unnaturalv,mob,1,20895.364224265362
LexVar191,unnaturalv,mob,1,16916.751893678927
LexVar119,unnaturalv,mob,2,20630.06894206473
LexVar119,unnaturalv,mob,2,11781.71470041896
LexVar126,unnaturalv,mob,2,19877.085885773435
LexVar126,unnaturalv,mob,2,18035.248060956583
LexVar137,unnaturalv,mob,2,20189.243402098076
LexVar137,unnaturalv,mob,2,20088.583220523265
LexVar138,unnaturalv,mob,2,16360.70665882406
LexVar144,unnaturalv,mob,2,16657.354401396635
LexVar144,unnaturalv,mob,2,17859.011979592684
LexVar149,unnaturalv,mob,2,19482.517751418112
LexVar149,unnaturalv,mob,2,20338.794981824267
LexVar150,unnaturalv,mob,2,16549.545917808435
LexVar150,unnaturalv,mob,2,20204.001274100556
LexVar155,unnaturalv,mob,2,19645.408398522708
LexVar155,unnaturalv,mob,2,18637.598788596075
LexVar156,unnaturalv,mob,2,9040.320033290935
LexVar156,unnaturalv,mob,2,19923.218942121064
LexVar162,unnaturalv,mob,2,20448.629611713357
LexVar162,unnaturalv,mob,2,18903.63740119557
LexVar173,unnaturalv,mob,2,20257.54955622048
LexVar173,unnaturalv,mob,2,20400.35926485121
LexVar174,unnaturalv,mob,2,19082.02085316786
LexVar174,unnaturalv,mob,2,19019.509660955293
LexVar179,unnaturalv,mob,2,19838.65077306145
LexVar179,unnaturalv,mob,2,19550.35089579341
LexVar180,unnaturalv,mob,2,19644.047511668377
LexVar180,unnaturalv,mob,2,16387.773798179427
LexVar185,unnaturalv,mob,2,20071.71554979666
LexVar185,unnaturalv,mob,2,20289.48275852841
LexVar191,unnaturalv,mob,2,20057.40590841234
LexVar191,unnaturalv,mob,2,20482.986684275293
LexVar119,unnaturalv,mob,3,14383.132874812069
LexVar119,unnaturalv,mob,3,11176.272324256755
LexVar137,unnaturalv,mob,3,12420.325659808177
LexVar137,unnaturalv,mob,3,15916.815436765623
LexVar138,unnaturalv,mob,3,15615.935980648179
LexVar144,unnaturalv,mob,3,15913.32655948974
LexVar144,unnaturalv,mob,3,15491.288654048922
LexVar149,unnaturalv,mob,3,16268.499403076416
LexVar149,unnaturalv,mob,3,16116.995418847562
LexVar150,unnaturalv,mob,3,11830.302827048828
LexVar150,unnaturalv,mob,3,14601.136340022576
LexVar155,unnaturalv,mob,3,15546.70393945576
LexVar156,unnaturalv,mob,3,15337.97047240997
LexVar162,unnaturalv,mob,3,13600.272355981067
LexVar173,unnaturalv,mob,3,15120.450021721013
LexVar173,unnaturalv,mob,3,10747.669149541487
LexVar174,unnaturalv,mob,3,11002.701012464997
LexVar174,unnaturalv,mob,3,16072.218560736806
LexVar179,unnaturalv,mob,3,15916.940478061722
LexVar179,unnaturalv,mob,3,16416.654912592014
LexVar180,unnaturalv,mob,3,15441.803305996875
LexVar180,unnaturalv,mob,3,16251.518919882312
LexVar185,unnaturalv,mob,3,15646.531359871124
LexVar185,unnaturalv,mob,3,15259.667418396139
LexVar119,unnaturalv,mob,4,17673.84752703605
LexVar119,unnaturalv,mob,4,16802.939099228268
LexVar137,unnaturalv,mob,4,18567.56059465556
LexVar137,unnaturalv,mob,4,17781.10408697827
LexVar138,unnaturalv,mob,4,17227.575119753485
LexVar144,unnaturalv,mob,4,16524.157635594576
LexVar144,unnaturalv,mob,4,18395.67960375979
LexVar149,unnaturalv,mob,4,17835.52369979122
LexVar149,unnaturalv,mob,4,16728.530062619866
LexVar150,unnaturalv,mob,4,7337.786536464409
LexVar150,unnaturalv,mob,4,14185.414874160037
LexVar155,unnaturalv,mob,4,15681.158141462125
LexVar162,unnaturalv,mob,4,17287.070802385104
LexVar174,unnaturalv,mob,4,17599.907036181048
LexVar179,unnaturalv,mob,4,17618.908621444833
LexVar179,unnaturalv,mob,4,17888.459475879958
LexVar180,unnaturalv,mob,4,16478.31745321762
LexVar185,unnaturalv,mob,4,17470.57440832407
LexVar185,unnaturalv,mob,4,16633.291109307596
