participant,condition,word,exposure,synchrony
LexVar105,unnaturalv,tan,1,14692.426904254366
LexVar105,unnaturalv,tan,1,14353.905961610011
LexVar106,unnaturalv,tan,1,14867.120767022654
LexVar106,unnaturalv,tan,1,14808.902442604385
LexVar117,unnaturalv,tan,1,15215.899259349204
LexVar117,unnaturalv,tan,1,14850.38108632412
LexVar118,unnaturalv,tan,1,14818.142922497014
LexVar118,unnaturalv,tan,1,15021.900580869415
LexVar129,unnaturalv,tan,1,9068.387447817988
LexVar129,unnaturalv,tan,1,14533.059344067471
LexVar130,unnaturalv,tan,1,13494.210422969885
LexVar130,unnaturalv,tan,1,14637.85191280127
LexVar141,unnaturalv,tan,1,14827.034919779166
LexVar141,unnaturalv,tan,1,13337.18797273243
LexVar142,unnaturalv,tan,1,9182.929858959858
LexVar142,unnaturalv,tan,1,14563.390634516503
LexVar153,unnaturalv,tan,1,11402.970606386345
LexVar153,unnaturalv,tan,1,12428.943470564012
LexVar154,unnaturalv,tan,1,14855.28835199156
LexVar154,unnaturalv,tan,1,13245.985174350775
LexVar159,unnaturalv,tan,1,13814.41057683452
LexVar159,unnaturalv,tan,1,14987.19351448968
LexVar160,unnaturalv,tan,1,15294.904144500817
LexVar160,unnaturalv,tan,1,14879.308549746867
LexVar165,unnaturalv,tan,1,13184.011406777001
LexVar165,unnaturalv,tan,1,14405.737690298094
LexVar166,unnaturalv,tan,1,13448.915125242758
LexVar166,unnaturalv,tan,1,15222.630271976814
LexVar171,unnaturalv,tan,1,14895.522454418686
LexVar171,unnaturalv,tan,1,14730.871018329819
LexVar172,unnaturalv,tan,1,13301.034697268802
LexVar172,unnaturalv,tan,1,14158.325217496973
LexVar177,unnaturalv,tan,1,14825.752327209077
LexVar177,unnaturalv,tan,1,14240.25376119285
LexVar178,unnaturalv,tan,1,12352.390549004696
LexVar178,unnaturalv,tan,1,14110.359469626444
LexVar184,unnaturalv,tan,1,12080.74138017389
LexVar184,unnaturalv,tan,1,9153.218072151425
LexVar189,unnaturalv,tan,1,14468.181629772065
LexVar189,unnaturalv,tan,1,10251.16311932582
LexVar190,unnaturalv,tan,1,14868.0650201151
LexVar190,unnaturalv,tan,1,14650.959803617048
LexVar105,unnaturalv,tan,2,20864.746491426584
LexVar105,unnaturalv,tan,2,19852.24581622689
LexVar106,unnaturalv,tan,2,18877.822528649318
LexVar106,unnaturalv,tan,2,20918.303608565064
LexVar117,unnaturalv,tan,2,19272.48896383578
LexVar118,unnaturalv,tan,2,18084.007072359545
LexVar118,unnaturalv,tan,2,20897.99357563179
LexVar129,unnaturalv,tan,2,5324.327887819482
LexVar129,unnaturalv,tan,2,19463.33579866731
LexVar130,unnaturalv,tan,2,21089.03530621245
LexVar130,unnaturalv,tan,2,20421.791958501155
LexVar141,unnaturalv,tan,2,20621.924744505242
LexVar141,unnaturalv,tan,2,20427.987652592285
LexVar142,unnaturalv,tan,2,20111.95945334593
LexVar142,unnaturalv,tan,2,20729.20199413911
LexVar153,unnaturalv,tan,2,20485.044536720477
LexVar153,unnaturalv,tan,2,18864.11676981716
LexVar154,unnaturalv,tan,2,20883.841203076263
