participant,condition,word,exposure,synchrony
LexVar103,unnaturalv,voo,1,16552.243141456598
LexVar103,unnaturalv,voo,1,13523.780003900234
LexVar104,unnaturalv,voo,1,17293.381795039186
LexVar104,unnaturalv,voo,1,16901.14043885467
LexVar110,unnaturalv,voo,1,12863.521897438593
LexVar110,unnaturalv,voo,1,17119.94557393603
LexVar116,unnaturalv,voo,1,17444.320325345732
LexVar116,unnaturalv,voo,1,17361.613771668694
LexVar121,unnaturalv,voo,1,17094.94964783114
LexVar121,unnaturalv,voo,1,16993.07830563614
LexVar127,unnaturalv,voo,1,16098.853407653103
LexVar127,unnaturalv,voo,1,16542.34408139118
LexVar133,unnaturalv,voo,1,17118.009752750524
LexVar133,unnaturalv,voo,1,16772.314822864893
LexVar139,unnaturalv,voo,1,16861.304063659398
LexVar139,unnaturalv,voo,1,16009.143827324688
LexVar140,unnaturalv,voo,1,12377.928848825211
LexVar140,unnaturalv,voo,1,16075.60604846365
LexVar146,unnaturalv,voo,1,17240.293303742747
LexVar146,unnaturalv,voo,1,17475.469297941097
LexVar151,unnaturalv,voo,1,13775.453589753859
LexVar151,unnaturalv,voo,1,12675.581270147783
LexVar157,unnaturalv,voo,1,17264.217766246962
LexVar157,unnaturalv,voo,1,11663.661852096064
LexVar163,unnaturalv,voo,1,17178.85339437033
LexVar163,unnaturalv,voo,1,17151.39273302373
LexVar169,unnaturalv,voo,1,16547.654316810775
LexVar169,unnaturalv,voo,1,15633.156814751377
LexVar170,unnaturalv,voo,1,17111.245180547692
LexVar170,unnaturalv,voo,1,15727.291899624517
LexVar175,unnaturalv,voo,1,8978.034644621152
LexVar175,unnaturalv,voo,1,16154.217407618895
LexVar176,unnaturalv,voo,1,16182.648158265045
LexVar176,unnaturalv,voo,1,16949.41281626311
LexVar181,unnaturalv,voo,1,16511.486476020895
LexVar181,unnaturalv,voo,1,17030.470341855842
LexVar182,unnaturalv,voo,1,15791.560539636399
LexVar182,unnaturalv,voo,1,16229.353803942571
LexVar188,unnaturalv,voo,1,17496.29971402485
LexVar188,unnaturalv,voo,1,14808.527957889628
LexVar103,unnaturalv,voo,2,13646.437136644614
LexVar103,unnaturalv,voo,2,12855.275872139371
LexVar104,unnaturalv,voo,2,13121.853515474495
LexVar104,unnaturalv,voo,2,13753.963650593994
LexVar110,unnaturalv,voo,2,13662.606509523159
LexVar110,unnaturalv,voo,2,13585.463175305416
LexVar116,unnaturalv,voo,2,13767.133104032186
LexVar116,unnaturalv,voo,2,13118.617414701368
LexVar121,unnaturalv,voo,2,9266.193139559915
LexVar121,unnaturalv,voo,2,8255.218520618986
LexVar127,unnaturalv,voo,2,13653.473956202977
LexVar127,unnaturalv,voo,2,13688.161606735654
LexVar133,unnaturalv,voo,2,11860.897362808799
LexVar133,unnaturalv,voo,2,13660.908008778757
LexVar139,unnaturalv,voo,2,12541.866874042918
LexVar139,unnaturalv,voo,2,13507.867425421406
LexVar140,unnaturalv,voo,2,12689.004329302903
LexVar140,unnaturalv,voo,2,12288.642484981488
LexVar146,unnaturalv,voo,2,12207.252913261314
LexVar146,unnaturalv,voo,2,12624.47212518605
LexVar151,unnaturalv,voo,2,13043.024548684005
LexVar151,unnaturalv,voo,2,9976.784953028771
LexVar157,unnaturalv,voo,2,13701.79066695143
LexVar157,unnaturalv,voo,2,7386.153648232445
LexVar163,unnaturalv,voo,2,13817.164776682956
LexVar163,unnaturalv,voo,2,13486.425527239815
LexVar169,unnaturalv,voo,2,13338.764887083573
LexVar169,unnaturalv,voo,2,12587.907830069467
LexVar170,unnaturalv,voo,2,12286.720626768943
LexVar170,unnaturalv,voo,2,10246.159451755815
LexVar175,unnaturalv,voo,2,10954.013656456347
LexVar175,unnaturalv,voo,2,13852.982547541893
LexVar176,unnaturalv,voo,2,13942.08489325542
LexVar176,unnaturalv,voo,2,13384.128123427514
LexVar181,unnaturalv,voo,2,13732.460194934425
LexVar181,unnaturalv,voo,2,13647.642733997916
LexVar182,unnaturalv,voo,2,11998.749398817286
LexVar182,unnaturalv,voo,2,13651.51279722338
LexVar188,unnaturalv,voo,2,12019.517115357476
LexVar188,unnaturalv,voo,2,13049.127491431465
LexVar104,unnaturalv,voo,3,18333.440042969312
LexVar104,unnaturalv,voo,3,18263.900992177583
LexVar110,unnaturalv,voo,3,18382.032640219768
LexVar110,unnaturalv,voo,3,11511.847164376351
LexVar116,unnaturalv,voo,3,14226.821349373062
LexVar121,unnaturalv,voo,3,13367.358751426298
LexVar127,unnaturalv,voo,3,18749.60588735226
LexVar127,unnaturalv,voo,3,17270.633763059064
LexVar133,unnaturalv,voo,3,15713.582870947723
LexVar133,unnaturalv,voo,3,18734.2337493612
LexVar139,unnaturalv,voo,3,18366.623328531176
LexVar140,unnaturalv,voo,3,10130.510563381597
LexVar140,unnaturalv,voo,3,18585.974191289853
LexVar146,unnaturalv,voo,3,18753.764239194024
LexVar146,unnaturalv,voo,3,19100.683116431122
LexVar151,unnaturalv,voo,3,18705.59040574735
LexVar157,unnaturalv,voo,3,18697.260763671762
LexVar157,unnaturalv,voo,3,18365.900809855437
LexVar163,unnaturalv,voo,3,18582.27696248258
LexVar163,unnaturalv,voo,3,18325.95858442399
LexVar169,unnaturalv,voo,3,18351.803851799512
LexVar169,unnaturalv,voo,3,18431.594302412763
LexVar170,unnaturalv,voo,3,18200.8254666835
LexVar170,unnaturalv,voo,3,18950.827037139217
LexVar175,unnaturalv,voo,3,18998.062791247863
LexVar176,unnaturalv,voo,3,18758.715614907956
LexVar176,unnaturalv,voo,3,18955.12455034593
LexVar181,unnaturalv,voo,3,18333.94978925505
LexVar181,unnaturalv,voo,3,18100.62666398701
LexVar182,unnaturalv,voo,3,17174.45392740808
LexVar182,unnaturalv,voo,3,12479.214923641555
LexVar104,unnaturalv,voo,4,9808.551943377708
LexVar104,unnaturalv,voo,4,9340.488467774423
LexVar110,unnaturalv,voo,4,9165.350395446443
LexVar121,unnaturalv,voo,4,10206.806493420565
LexVar127,unnaturalv,voo,4,4894.172083668931
LexVar133,unnaturalv,voo,4,9699.291092821582
LexVar133,unnaturalv,voo,4,10079.35493227187
LexVar139,unnaturalv,voo,4,7575.806726227958
LexVar140,unnaturalv,voo,4,9179.450162213638
LexVar140,unnaturalv,voo,4,3550.3122106913193
LexVar146,unnaturalv,voo,4,10183.502647383968
LexVar146,unnaturalv,voo,4,10001.954382377427
LexVar157,unnaturalv,voo,4,10075.334794207145
LexVar163,unnaturalv,voo,4,8819.309689047659
LexVar163,unnaturalv,voo,4,9995.12707062705
LexVar169,unnaturalv,voo,4,9659.486582276726
LexVar169,unnaturalv,voo,4,9731.125791834824
LexVar170,unnaturalv,voo,4,9748.00853605785
LexVar176,unnaturalv,voo,4,10012.689226777142
LexVar181,unnaturalv,voo,4,10079.804862462077
LexVar181,unnaturalv,voo,4,9384.468607297382
