participant,condition,word,exposure,synchrony
LexVar119,unnaturalv,woi,1,9053.347691028062
LexVar119,unnaturalv,woi,1,8569.764686231116
LexVar126,unnaturalv,woi,1,7462.958419566958
LexVar126,unnaturalv,woi,1,9037.61882630259
LexVar137,unnaturalv,woi,1,8739.449450878274
LexVar137,unnaturalv,woi,1,8744.775752173406
LexVar138,unnaturalv,woi,1,6228.055972329078
LexVar138,unnaturalv,woi,1,8346.221622062445
LexVar144,unnaturalv,woi,1,7827.224719831838
LexVar144,unnaturalv,woi,1,8428.172025011405
LexVar149,unnaturalv,woi,1,8714.582980712177
LexVar149,unnaturalv,woi,1,8385.263701118416
LexVar150,unnaturalv,woi,1,8695.51996750582
LexVar150,unnaturalv,woi,1,6832.748767240559
LexVar155,unnaturalv,woi,1,9188.396951460527
LexVar155,unnaturalv,woi,1,6901.218516222122
LexVar156,unnaturalv,woi,1,7884.093884814388
LexVar156,unnaturalv,woi,1,8980.664115228601
LexVar162,unnaturalv,woi,1,9281.627392107875
LexVar162,unnaturalv,woi,1,6320.5993043956505
LexVar173,unnaturalv,woi,1,6916.996616313718
LexVar173,unnaturalv,woi,1,7777.95696381463
LexVar174,unnaturalv,woi,1,8998.078032628677
LexVar174,unnaturalv,woi,1,6971.955567592667
LexVar179,unnaturalv,woi,1,8835.614374974042
LexVar179,unnaturalv,woi,1,8605.450485880103
LexVar180,unnaturalv,woi,1,8358.036443740315
LexVar180,unnaturalv,woi,1,7558.049011087531
LexVar185,unnaturalv,woi,1,8057.877104312869
LexVar185,unnaturalv,woi,1,6441.44718019236
LexVar191,unnaturalv,woi,1,8938.711289352226
LexVar191,unnaturalv,woi,1,8088.655321315566
LexVar119,unnaturalv,woi,2,12068.493152673176
LexVar119,unnaturalv,woi,2,11752.617868594349
LexVar126,unnaturalv,woi,2,11636.444540022536
LexVar126,unnaturalv,woi,2,12210.683936069056
LexVar137,unnaturalv,woi,2,11103.372187173756
LexVar137,unnaturalv,woi,2,11946.30382058875
LexVar138,unnaturalv,woi,2,11227.80628946604
LexVar138,unnaturalv,woi,2,10903.400024284887
LexVar144,unnaturalv,woi,2,11988.63846358501
LexVar144,unnaturalv,woi,2,9748.634783145068
LexVar149,unnaturalv,woi,2,11985.074401670894
LexVar149,unnaturalv,woi,2,11752.40093263324
LexVar150,unnaturalv,woi,2,11797.80443623805
LexVar150,unnaturalv,woi,2,10981.081754229213
LexVar155,unnaturalv,woi,2,11477.491637105864
LexVar155,unnaturalv,woi,2,12166.055274698763
LexVar156,unnaturalv,woi,2,10288.003461576438
LexVar156,unnaturalv,woi,2,10475.406405330274
LexVar162,unnaturalv,woi,2,10380.041405049948
LexVar162,unnaturalv,woi,2,5247.98729392266
LexVar173,unnaturalv,woi,2,11873.366697404357
LexVar173,unnaturalv,woi,2,9311.957873045227
LexVar174,unnaturalv,woi,2,12087.81786951554
LexVar174,unnaturalv,woi,2,11730.065360031942
LexVar179,unnaturalv,woi,2,11994.278361935461
LexVar179,unnaturalv,woi,2,11292.947294736696
LexVar180,unnaturalv,woi,2,12076.46696532665
LexVar180,unnaturalv,woi,2,10960.342536211698
LexVar185,unnaturalv,woi,2,11651.245308853478
LexVar185,unnaturalv,woi,2,11605.473484685755
LexVar191,unnaturalv,woi,2,11601.140245952995
LexVar191,unnaturalv,woi,2,11850.10524318036
LexVar119,unnaturalv,woi,3,20766.000850177632
LexVar126,unnaturalv,woi,3,16849.00241461322
LexVar126,unnaturalv,woi,3,20730.245837796574
LexVar137,unnaturalv,woi,3,20693.6024726989
LexVar137,unnaturalv,woi,3,17693.39656160029
LexVar138,unnaturalv,woi,3,20481.0050627517
LexVar144,unnaturalv,woi,3,20103.87351001257
LexVar144,unnaturalv,woi,3,18718.654637167117
LexVar149,unnaturalv,woi,3,20201.719695088126
LexVar149,unnaturalv,woi,3,20609.698212044113
LexVar150,unnaturalv,woi,3,20821.00287268579
LexVar150,unnaturalv,woi,3,19339.200675203974
LexVar155,unnaturalv,woi,3,20784.23543246307
LexVar162,unnaturalv,woi,3,16721.57027057867
LexVar162,unnaturalv,woi,3,19367.380315217764
LexVar173,unnaturalv,woi,3,19315.657118265863
LexVar173,unnaturalv,woi,3,17772.75680251963
LexVar174,unnaturalv,woi,3,6991.920485731692
LexVar179,unnaturalv,woi,3,20199.747339443056
LexVar179,unnaturalv,woi,3,20699.219097430105
LexVar180,unnaturalv,woi,3,20971.23085994764
LexVar185,unnaturalv,woi,3,20779.576427795473
LexVar185,unnaturalv,woi,3,20427.17996858549
LexVar119,unnaturalv,woi,4,6014.807443104904
LexVar138,unnaturalv,woi,4,5845.5826009376005
LexVar144,unnaturalv,woi,4,6263.816798345337
LexVar144,unnaturalv,woi,4,3204.115098256937
LexVar149,unnaturalv,woi,4,5688.212082511405
LexVar149,unnaturalv,woi,4,5421.272029906997
LexVar162,unnaturalv,woi,4,4061.601167582185
LexVar162,unnaturalv,woi,4,5686.07881850268
LexVar179,unnaturalv,woi,4,5743.794558023623
LexVar185,unnaturalv,woi,4,6194.180751242785
LexVar185,unnaturalv,woi,4,5258.152368489163
